Comunidades y Ciudades Autónomas	Naturaleza de la finca	Número e importe	Periodo	Total
Total Nacional	Otros	Importe de hipotecas	2025	27.717.368
Total Nacional	Otros	Importe de hipotecas	2024	24.209.554
Total Nacional	Otros	Importe de hipotecas	2023	22.654.960
Total Nacional	Otros	Importe de hipotecas	2022	22.092.230
Total Nacional	Otros	Importe de hipotecas	2021	18.286.112
Total Nacional	Otros	Importe de hipotecas	2020	18.928.984
Total Nacional	Otros	Importe de hipotecas	2019	21.378.310
Total Nacional	Otros	Importe de hipotecas	2018	19.180.576
Total Nacional	Otros	Importe de hipotecas	2017	17.999.055
Total Nacional	Otros	Importe de hipotecas	2016	15.875.032
Total Nacional	Otros	Importe de hipotecas	2015	16.583.306
Total Nacional	Otros	Importe de hipotecas	2014	14.496.720
Total Nacional	Otros	Importe de hipotecas	2013	10.860.257
Total Nacional	Otros	Importe de hipotecas	2012	13.719.748
Total Nacional	Otros	Importe de hipotecas	2011	18.143.635
Total Nacional	Otros	Importe de hipotecas	2010	29.410.019
Total Nacional	Otros	Importe de hipotecas	2009	38.174.897
Total Nacional	Otros	Importe de hipotecas	2008	48.113.202
Total Nacional	Otros	Importe de hipotecas	2007	61.732.103
Total Nacional	Otros	Importe de hipotecas	2006	60.447.768
Total Nacional	Otros	Importe de hipotecas	2005	54.298.367
Total Nacional	Otros	Importe de hipotecas	2004	45.013.637
Total Nacional	Otros	Importe de hipotecas	2003	25.271.744
01 Andalucía	Total fincas	Número de hipotecas	2025	122.793
01 Andalucía	Total fincas	Número de hipotecas	2024	103.829
01 Andalucía	Total fincas	Número de hipotecas	2023	98.089
01 Andalucía	Total fincas	Número de hipotecas	2022	115.647
01 Andalucía	Total fincas	Número de hipotecas	2021	109.869
01 Andalucía	Total fincas	Número de hipotecas	2020	85.304
01 Andalucía	Total fincas	Número de hipotecas	2019	92.707
01 Andalucía	Total fincas	Número de hipotecas	2018	90.159
01 Andalucía	Total fincas	Número de hipotecas	2017	81.417
01 Andalucía	Total fincas	Número de hipotecas	2016	76.240
01 Andalucía	Total fincas	Número de hipotecas	2015	68.187
01 Andalucía	Total fincas	Número de hipotecas	2014	59.304
01 Andalucía	Total fincas	Número de hipotecas	2013	61.982
01 Andalucía	Total fincas	Número de hipotecas	2012	88.852
01 Andalucía	Total fincas	Número de hipotecas	2011	128.331
01 Andalucía	Total fincas	Número de hipotecas	2010	167.961
01 Andalucía	Total fincas	Número de hipotecas	2009	200.498
01 Andalucía	Total fincas	Número de hipotecas	2008	243.019
01 Andalucía	Total fincas	Número de hipotecas	2007	370.646
01 Andalucía	Total fincas	Número de hipotecas	2006	404.875
01 Andalucía	Total fincas	Número de hipotecas	2005	386.388
01 Andalucía	Total fincas	Número de hipotecas	2004	334.571
01 Andalucía	Total fincas	Número de hipotecas	2003	255.454
01 Andalucía	Total fincas	Importe de hipotecas	2025	20.854.224
01 Andalucía	Total fincas	Importe de hipotecas	2024	16.089.855
01 Andalucía	Total fincas	Importe de hipotecas	2023	14.686.320
01 Andalucía	Total fincas	Importe de hipotecas	2022	16.143.478
01 Andalucía	Total fincas	Importe de hipotecas	2021	13.735.352
01 Andalucía	Total fincas	Importe de hipotecas	2020	11.238.877
01 Andalucía	Total fincas	Importe de hipotecas	2019	12.184.922
01 Andalucía	Total fincas	Importe de hipotecas	2018	11.132.253
01 Andalucía	Total fincas	Importe de hipotecas	2017	9.580.563
01 Andalucía	Total fincas	Importe de hipotecas	2016	8.319.417
01 Andalucía	Total fincas	Importe de hipotecas	2015	7.293.741
01 Andalucía	Total fincas	Importe de hipotecas	2014	6.122.618
01 Andalucía	Total fincas	Importe de hipotecas	2013	6.515.230
01 Andalucía	Total fincas	Importe de hipotecas	2012	8.983.839
01 Andalucía	Total fincas	Importe de hipotecas	2011	12.816.382
01 Andalucía	Total fincas	Importe de hipotecas	2010	18.819.761
01 Andalucía	Total fincas	Importe de hipotecas	2009	24.437.064
01 Andalucía	Total fincas	Importe de hipotecas	2008	35.559.521
01 Andalucía	Total fincas	Importe de hipotecas	2007	54.469.929
01 Andalucía	Total fincas	Importe de hipotecas	2006	55.736.193
