Secciones de la CNAE-09	Tipo de coste	Periodo	Total
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2011T1	105,3
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2010T4	104,8
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2010T3	104
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2010T2	104,5
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2010T1	104,7
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2009T4	105,2
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2009T3	105,3
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2009T2	104,2
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2009T1	103,6
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2008T4	101,7
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2008T3	100,8
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2008T2	99,5
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2008T1	98
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2007T4	97,1
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2007T3	96,6
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2007T2	95,1
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2007T1	93,7
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2006T4	92,5
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2006T3	91,2
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2006T2	91
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2006T1	90
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2005T4	89,4
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2005T3	88,1
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2005T2	87,7
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2005T1	87,1
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2004T4	86
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2004T3	85,6
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2004T2	84,8
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2004T1	84,2
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2003T4	83,8
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2003T3	82,4
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2003T2	81,7
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2003T1	80,7
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2002T4	79,7
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2002T3	78,9
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2002T2	77,8
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2002T1	76,5
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2001T4	75,4
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2001T3	75,1
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2001T2	73,9
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2001T1	73
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2000T4	72
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2000T3	71,4
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2000T2	71
B_S TODAS	Coste laboral excluyendo pagos extraordinarios y atrasos por hora efectiva de trabajo	2000T1	70,8
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2014T4	128,7
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2014T3	129
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2014T2	130
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2014T1	129,1
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2013T4	130,5
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2013T3	130,1
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2013T2	129,2
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2013T1	130,2
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2012T4	128,3
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2012T3	125,8
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2012T2	135,6
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2012T1	119,2
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2011T4	117,7
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2011T3	114,3
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2011T2	113,8
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2011T1	114,7
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2010T4	122,6
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2010T3	111,4
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2010T2	109,7
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2010T1	105
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2009T4	103,7
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2009T3	104,3
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2009T2	102,9
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2009T1	102,2
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2008T4	102,3
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2008T3	100
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2008T2	99,3
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2008T1	98,3
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2007T4	94,1
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2007T3	93,1
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2007T2	90,7
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2007T1	90,2
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2006T4	90,9
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2006T3	90,4
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2006T2	89,9
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2006T1	88,7
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2005T4	88,5
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2005T3	87,3
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2005T2	87,4
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2005T1	87,5
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2004T4	86,4
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2004T3	85,1
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2004T2	86,8
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2004T1	85
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2003T4	86,7
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2003T3	86
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2003T2	84,4
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2003T1	84,6
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2002T4	81,9
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2002T3	82,9
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2002T2	80
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2002T1	79
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2001T4	78,5
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2001T3	77,9
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2001T2	77,6
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2001T1	77,5
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2000T4	76,4
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2000T3	75,1
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2000T2	74,7
B Industrias extractivas	Coste laboral total por hora efectiva de trabajo	2000T1	73,8
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2014T4	135,9
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2014T3	135,4
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2014T2	135,9
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2014T1	135,9
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2013T4	137
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2013T3	137,5
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2013T2	136,7
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2013T1	135,9
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2012T4	134,3
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2012T3	130,6
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2012T2	143,8
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2012T1	123,7
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2011T4	120,5
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2011T3	118,2
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2011T2	116,9
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2011T1	116
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2010T4	115,7
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2010T3	114,2
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2010T2	113,6
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2010T1	104,7
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2009T4	103,6
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2009T3	104,3
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2009T2	102,8
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2009T1	101,6
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2008T4	101,3
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2008T3	100,2
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2008T2	99,6
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2008T1	98,9
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2007T4	96,3
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2007T3	94,5
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2007T2	92,8
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2007T1	92
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2006T4	91,9
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2006T3	91,7
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2006T2	90,8
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2006T1	89,7
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2005T4	89,2
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2005T3	88,2
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2005T2	87,9
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2005T1	87,6
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2004T4	86,8
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2004T3	85,5
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2004T2	86,4
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2004T1	85,6
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2003T4	86
B Industrias extractivas	Coste salarial total por hora efectiva de trabajo	2003T3	86,1
