Total Nacional;Provincias;Tamaño de la vivienda;Tipo de dato;Periodo;Total
Total Nacional;;(60-75];Variación anual;2012;-1,7
Total Nacional;;(60-75];Variación anual;2011;..
Total Nacional;;(75-90];Índice;2023;118,702
Total Nacional;;(75-90];Índice;2022;115,746
Total Nacional;;(75-90];Índice;2021;112,77
Total Nacional;;(75-90];Índice;2020;110,944
Total Nacional;;(75-90];Índice;2019;109,897
Total Nacional;;(75-90];Índice;2018;106,096
Total Nacional;;(75-90];Índice;2017;103,422
Total Nacional;;(75-90];Índice;2016;101,673
Total Nacional;;(75-90];Índice;2015;100
Total Nacional;;(75-90];Índice;2014;99,947
Total Nacional;;(75-90];Índice;2013;100,78
Total Nacional;;(75-90];Índice;2012;103,618
Total Nacional;;(75-90];Índice;2011;105,194
Total Nacional;;(75-90];Variación anual;2023;2,6
Total Nacional;;(75-90];Variación anual;2022;2,6
Total Nacional;;(75-90];Variación anual;2021;1,6
Total Nacional;;(75-90];Variación anual;2020;1
Total Nacional;;(75-90];Variación anual;2019;3,6
Total Nacional;;(75-90];Variación anual;2018;2,6
Total Nacional;;(75-90];Variación anual;2017;1,7
Total Nacional;;(75-90];Variación anual;2016;1,7
Total Nacional;;(75-90];Variación anual;2015;0,1
Total Nacional;;(75-90];Variación anual;2014;-0,8
Total Nacional;;(75-90];Variación anual;2013;-2,7
Total Nacional;;(75-90];Variación anual;2012;-1,5
Total Nacional;;(75-90];Variación anual;2011;..
Total Nacional;;(90-120];Índice;2023;117,713
Total Nacional;;(90-120];Índice;2022;114,788
Total Nacional;;(90-120];Índice;2021;111,88
Total Nacional;;(90-120];Índice;2020;109,965
Total Nacional;;(90-120];Índice;2019;109,094
Total Nacional;;(90-120];Índice;2018;105,596
Total Nacional;;(90-120];Índice;2017;103,145
Total Nacional;;(90-120];Índice;2016;101,543
Total Nacional;;(90-120];Índice;2015;100
Total Nacional;;(90-120];Índice;2014;99,86
Total Nacional;;(90-120];Índice;2013;100,454
Total Nacional;;(90-120];Índice;2012;102,741
Total Nacional;;(90-120];Índice;2011;104,248
Total Nacional;;(90-120];Variación anual;2023;2,5
Total Nacional;;(90-120];Variación anual;2022;2,6
Total Nacional;;(90-120];Variación anual;2021;1,7
Total Nacional;;(90-120];Variación anual;2020;0,8
Total Nacional;;(90-120];Variación anual;2019;3,3
Total Nacional;;(90-120];Variación anual;2018;2,4
Total Nacional;;(90-120];Variación anual;2017;1,6
Total Nacional;;(90-120];Variación anual;2016;1,5
Total Nacional;;(90-120];Variación anual;2015;0,1
Total Nacional;;(90-120];Variación anual;2014;-0,6
Total Nacional;;(90-120];Variación anual;2013;-2,2
Total Nacional;;(90-120];Variación anual;2012;-1,4
Total Nacional;;(90-120];Variación anual;2011;..
Total Nacional;;(120-150];Índice;2023;116,28
Total Nacional;;(120-150];Índice;2022;113,482
Total Nacional;;(120-150];Índice;2021;110,558
Total Nacional;;(120-150];Índice;2020;108,667
