Municipio;Tipo de dato;Periodo;Total
03009 Alcoi/Alcoy;Variación anual;2014;-0,8
03009 Alcoi/Alcoy;Variación anual;2013;-3,1
03009 Alcoi/Alcoy;Variación anual;2012;-1,2
03009 Alcoi/Alcoy;Variación anual;2011;..
03011 Alfàs del Pi, l';Índice;2023;117,539
03011 Alfàs del Pi, l';Índice;2022;114,66
03011 Alfàs del Pi, l';Índice;2021;111,773
03011 Alfàs del Pi, l';Índice;2020;109,031
03011 Alfàs del Pi, l';Índice;2019;108,818
03011 Alfàs del Pi, l';Índice;2018;105,479
03011 Alfàs del Pi, l';Índice;2017;102,887
03011 Alfàs del Pi, l';Índice;2016;102,161
03011 Alfàs del Pi, l';Índice;2015;100
03011 Alfàs del Pi, l';Índice;2014;100,023
03011 Alfàs del Pi, l';Índice;2013;98,332
03011 Alfàs del Pi, l';Índice;2012;99,014
03011 Alfàs del Pi, l';Índice;2011;99,149
03011 Alfàs del Pi, l';Variación anual;2023;2,5
03011 Alfàs del Pi, l';Variación anual;2022;2,6
03011 Alfàs del Pi, l';Variación anual;2021;2,5
03011 Alfàs del Pi, l';Variación anual;2020;0,2
03011 Alfàs del Pi, l';Variación anual;2019;3,2
03011 Alfàs del Pi, l';Variación anual;2018;2,5
03011 Alfàs del Pi, l';Variación anual;2017;0,7
03011 Alfàs del Pi, l';Variación anual;2016;2,2
03011 Alfàs del Pi, l';Variación anual;2015;0
03011 Alfàs del Pi, l';Variación anual;2014;1,7
03011 Alfàs del Pi, l';Variación anual;2013;-0,7
03011 Alfàs del Pi, l';Variación anual;2012;-0,1
03011 Alfàs del Pi, l';Variación anual;2011;..
03014 Alacant/Alicante;Índice;2023;121,321
03014 Alacant/Alicante;Índice;2022;117,364
03014 Alacant/Alicante;Índice;2021;113,535
03014 Alacant/Alicante;Índice;2020;111,194
03014 Alacant/Alicante;Índice;2019;110,119
03014 Alacant/Alicante;Índice;2018;106,218
03014 Alacant/Alicante;Índice;2017;103,684
03014 Alacant/Alicante;Índice;2016;101,945
03014 Alacant/Alicante;Índice;2015;100
03014 Alacant/Alicante;Índice;2014;99,45
03014 Alacant/Alicante;Índice;2013;99,586
03014 Alacant/Alicante;Índice;2012;102,422
03014 Alacant/Alicante;Índice;2011;104,4
