Total Nacional;Comunidades y Ciudades Autónomas;Tamaño de la vivienda;Tipo de dato;Periodo;Total
Total Nacional;04 Balears, Illes;(120-150];Índice;2015;100
Total Nacional;04 Balears, Illes;(120-150];Índice;2014;98,752
Total Nacional;04 Balears, Illes;(120-150];Índice;2013;98,241
Total Nacional;04 Balears, Illes;(120-150];Índice;2012;99,021
Total Nacional;04 Balears, Illes;(120-150];Índice;2011;99,522
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2023;3,2
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2022;3,6
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2021;2,3
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2020;-0,4
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2019;3,5
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2018;3,4
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2017;2,2
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2016;1,9
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2015;1,3
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2014;0,5
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2013;-0,8
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2012;-0,5
Total Nacional;04 Balears, Illes;(120-150];Variación anual;2011;..
Total Nacional;04 Balears, Illes;>150;Índice;2023;119,45
Total Nacional;04 Balears, Illes;>150;Índice;2022;115,957
Total Nacional;04 Balears, Illes;>150;Índice;2021;111,522
Total Nacional;04 Balears, Illes;>150;Índice;2020;108,546
Total Nacional;04 Balears, Illes;>150;Índice;2019;109,206
Total Nacional;04 Balears, Illes;>150;Índice;2018;108,547
Total Nacional;04 Balears, Illes;>150;Índice;2017;105,527
Total Nacional;04 Balears, Illes;>150;Índice;2016;102,193
Total Nacional;04 Balears, Illes;>150;Índice;2015;100
Total Nacional;04 Balears, Illes;>150;Índice;2014;98,369
Total Nacional;04 Balears, Illes;>150;Índice;2013;97,273
Total Nacional;04 Balears, Illes;>150;Índice;2012;97,343
Total Nacional;04 Balears, Illes;>150;Índice;2011;97,751
Total Nacional;04 Balears, Illes;>150;Variación anual;2023;3
Total Nacional;04 Balears, Illes;>150;Variación anual;2022;4
Total Nacional;04 Balears, Illes;>150;Variación anual;2021;2,7
Total Nacional;04 Balears, Illes;>150;Variación anual;2020;-0,6
Total Nacional;04 Balears, Illes;>150;Variación anual;2019;0,6
Total Nacional;04 Balears, Illes;>150;Variación anual;2018;2,9
Total Nacional;04 Balears, Illes;>150;Variación anual;2017;3,3
Total Nacional;04 Balears, Illes;>150;Variación anual;2016;2,2
Total Nacional;04 Balears, Illes;>150;Variación anual;2015;1,7
Total Nacional;04 Balears, Illes;>150;Variación anual;2014;1,1
Total Nacional;04 Balears, Illes;>150;Variación anual;2013;-0,1
Total Nacional;04 Balears, Illes;>150;Variación anual;2012;-0,4
Total Nacional;04 Balears, Illes;>150;Variación anual;2011;..
Total Nacional;05 Canarias;Total;Índice;2023;119,54
Total Nacional;05 Canarias;Total;Índice;2022;116,327
Total Nacional;05 Canarias;Total;Índice;2021;112,979
Total Nacional;05 Canarias;Total;Índice;2020;110,986
Total Nacional;05 Canarias;Total;Índice;2019;110,732
Total Nacional;05 Canarias;Total;Índice;2018;107,05
Total Nacional;05 Canarias;Total;Índice;2017;104,312
Total Nacional;05 Canarias;Total;Índice;2016;101,982
Total Nacional;05 Canarias;Total;Índice;2015;100
Total Nacional;05 Canarias;Total;Índice;2014;99,464
Total Nacional;05 Canarias;Total;Índice;2013;99,33
Total Nacional;05 Canarias;Total;Índice;2012;100,842
Total Nacional;05 Canarias;Total;Índice;2011;101,953
Total Nacional;05 Canarias;Total;Variación anual;2023;2,8
Total Nacional;05 Canarias;Total;Variación anual;2022;3
Total Nacional;05 Canarias;Total;Variación anual;2021;1,8
Total Nacional;05 Canarias;Total;Variación anual;2020;0,2
Total Nacional;05 Canarias;Total;Variación anual;2019;3,4
Total Nacional;05 Canarias;Total;Variación anual;2018;2,6
Total Nacional;05 Canarias;Total;Variación anual;2017;2,3
Total Nacional;05 Canarias;Total;Variación anual;2016;2
Total Nacional;05 Canarias;Total;Variación anual;2015;0,5
Total Nacional;05 Canarias;Total;Variación anual;2014;0,1
Total Nacional;05 Canarias;Total;Variación anual;2013;-1,5
Total Nacional;05 Canarias;Total;Variación anual;2012;-1,1
Total Nacional;05 Canarias;Total;Variación anual;2011;..
Total Nacional;05 Canarias;<=60;Índice;2023;122,211
Total Nacional;05 Canarias;<=60;Índice;2022;118,628
Total Nacional;05 Canarias;<=60;Índice;2021;115,164
Total Nacional;05 Canarias;<=60;Índice;2020;112,948
Total Nacional;05 Canarias;<=60;Índice;2019;112,899
Total Nacional;05 Canarias;<=60;Índice;2018;108,161
Total Nacional;05 Canarias;<=60;Índice;2017;104,693
Total Nacional;05 Canarias;<=60;Índice;2016;102
Total Nacional;05 Canarias;<=60;Índice;2015;100
Total Nacional;05 Canarias;<=60;Índice;2014;98,9
Total Nacional;05 Canarias;<=60;Índice;2013;98,95
Total Nacional;05 Canarias;<=60;Índice;2012;100,218
Total Nacional;05 Canarias;<=60;Índice;2011;101,401
Total Nacional;05 Canarias;<=60;Variación anual;2023;3
Total Nacional;05 Canarias;<=60;Variación anual;2022;3
Total Nacional;05 Canarias;<=60;Variación anual;2021;2
Total Nacional;05 Canarias;<=60;Variación anual;2020;0
Total Nacional;05 Canarias;<=60;Variación anual;2019;4,4
Total Nacional;05 Canarias;<=60;Variación anual;2018;3,3
Total Nacional;05 Canarias;<=60;Variación anual;2017;2,6
Total Nacional;05 Canarias;<=60;Variación anual;2016;2
Total Nacional;05 Canarias;<=60;Variación anual;2015;1,1
Total Nacional;05 Canarias;<=60;Variación anual;2014;-0,1
Total Nacional;05 Canarias;<=60;Variación anual;2013;-1,3
Total Nacional;05 Canarias;<=60;Variación anual;2012;-1,2
Total Nacional;05 Canarias;<=60;Variación anual;2011;..
Total Nacional;05 Canarias;(60-75];Índice;2023;121,067
Total Nacional;05 Canarias;(60-75];Índice;2022;117,662
Total Nacional;05 Canarias;(60-75];Índice;2021;114,156
Total Nacional;05 Canarias;(60-75];Índice;2020;112,386
Total Nacional;05 Canarias;(60-75];Índice;2019;111,849
Total Nacional;05 Canarias;(60-75];Índice;2018;107,474
Total Nacional;05 Canarias;(60-75];Índice;2017;104,159
Total Nacional;05 Canarias;(60-75];Índice;2016;101,793
Total Nacional;05 Canarias;(60-75];Índice;2015;100
Total Nacional;05 Canarias;(60-75];Índice;2014;99,575
Total Nacional;05 Canarias;(60-75];Índice;2013;99,552
Total Nacional;05 Canarias;(60-75];Índice;2012;101,361
Total Nacional;05 Canarias;(60-75];Índice;2011;102,725
Total Nacional;05 Canarias;(60-75];Variación anual;2023;2,9
Total Nacional;05 Canarias;(60-75];Variación anual;2022;3,1
Total Nacional;05 Canarias;(60-75];Variación anual;2021;1,6
Total Nacional;05 Canarias;(60-75];Variación anual;2020;0,5
Total Nacional;05 Canarias;(60-75];Variación anual;2019;4,1
Total Nacional;05 Canarias;(60-75];Variación anual;2018;3,2
Total Nacional;05 Canarias;(60-75];Variación anual;2017;2,3
Total Nacional;05 Canarias;(60-75];Variación anual;2016;1,8
Total Nacional;05 Canarias;(60-75];Variación anual;2015;0,4
Total Nacional;05 Canarias;(60-75];Variación anual;2014;0
Total Nacional;05 Canarias;(60-75];Variación anual;2013;-1,8
Total Nacional;05 Canarias;(60-75];Variación anual;2012;-1,3
Total Nacional;05 Canarias;(60-75];Variación anual;2011;..
Total Nacional;05 Canarias;(75-90];Índice;2023;119,322
Total Nacional;05 Canarias;(75-90];Índice;2022;116,383
Total Nacional;05 Canarias;(75-90];Índice;2021;113,181
Total Nacional;05 Canarias;(75-90];Índice;2020;110,944
Total Nacional;05 Canarias;(75-90];Índice;2019;110,521
Total Nacional;05 Canarias;(75-90];Índice;2018;106,645
Total Nacional;05 Canarias;(75-90];Índice;2017;104,077
Total Nacional;05 Canarias;(75-90];Índice;2016;102,193
Total Nacional;05 Canarias;(75-90];Índice;2015;100
Total Nacional;05 Canarias;(75-90];Índice;2014;99,567
Total Nacional;05 Canarias;(75-90];Índice;2013;99,698
Total Nacional;05 Canarias;(75-90];Índice;2012;101,569
Total Nacional;05 Canarias;(75-90];Índice;2011;102,083
Total Nacional;05 Canarias;(75-90];Variación anual;2023;2,5
Total Nacional;05 Canarias;(75-90];Variación anual;2022;2,8
Total Nacional;05 Canarias;(75-90];Variación anual;2021;2
Total Nacional;05 Canarias;(75-90];Variación anual;2020;0,4
Total Nacional;05 Canarias;(75-90];Variación anual;2019;3,6
Total Nacional;05 Canarias;(75-90];Variación anual;2018;2,5
Total Nacional;05 Canarias;(75-90];Variación anual;2017;1,8
Total Nacional;05 Canarias;(75-90];Variación anual;2016;2,2
Total Nacional;05 Canarias;(75-90];Variación anual;2015;0,4
Total Nacional;05 Canarias;(75-90];Variación anual;2014;-0,1
Total Nacional;05 Canarias;(75-90];Variación anual;2013;-1,8
Total Nacional;05 Canarias;(75-90];Variación anual;2012;-0,5
Total Nacional;05 Canarias;(75-90];Variación anual;2011;..
Total Nacional;05 Canarias;(90-120];Índice;2023;117,779
Total Nacional;05 Canarias;(90-120];Índice;2022;114,713
Total Nacional;05 Canarias;(90-120];Índice;2021;111,671
Total Nacional;05 Canarias;(90-120];Índice;2020;109,879
Total Nacional;05 Canarias;(90-120];Índice;2019;109,599
Total Nacional;05 Canarias;(90-120];Índice;2018;106,181
Total Nacional;05 Canarias;(90-120];Índice;2017;103,754
Total Nacional;05 Canarias;(90-120];Índice;2016;101,993
Total Nacional;05 Canarias;(90-120];Índice;2015;100
Total Nacional;05 Canarias;(90-120];Índice;2014;100,223
Total Nacional;05 Canarias;(90-120];Índice;2013;99,734
Total Nacional;05 Canarias;(90-120];Índice;2012;101,134
Total Nacional;05 Canarias;(90-120];Índice;2011;102,423
Total Nacional;05 Canarias;(90-120];Variación anual;2023;2,7
Total Nacional;05 Canarias;(90-120];Variación anual;2022;2,7
Total Nacional;05 Canarias;(90-120];Variación anual;2021;1,6
Total Nacional;05 Canarias;(90-120];Variación anual;2020;0,3
Total Nacional;05 Canarias;(90-120];Variación anual;2019;3,2
Total Nacional;05 Canarias;(90-120];Variación anual;2018;2,3
Total Nacional;05 Canarias;(90-120];Variación anual;2017;1,7
Total Nacional;05 Canarias;(90-120];Variación anual;2016;2
Total Nacional;05 Canarias;(90-120];Variación anual;2015;-0,2
Total Nacional;05 Canarias;(90-120];Variación anual;2014;0,5
Total Nacional;05 Canarias;(90-120];Variación anual;2013;-1,4
Total Nacional;05 Canarias;(90-120];Variación anual;2012;-1,3
Total Nacional;05 Canarias;(90-120];Variación anual;2011;..
Total Nacional;05 Canarias;(120-150];Índice;2023;115,536
Total Nacional;05 Canarias;(120-150];Índice;2022;112,679
Total Nacional;05 Canarias;(120-150];Índice;2021;109,671
Total Nacional;05 Canarias;(120-150];Índice;2020;108,101
Total Nacional;05 Canarias;(120-150];Índice;2019;107,881
Total Nacional;05 Canarias;(120-150];Índice;2018;105,394
Total Nacional;05 Canarias;(120-150];Índice;2017;103,768
Total Nacional;05 Canarias;(120-150];Índice;2016;101,557
Total Nacional;05 Canarias;(120-150];Índice;2015;100
Total Nacional;05 Canarias;(120-150];Índice;2014;99,793
Total Nacional;05 Canarias;(120-150];Índice;2013;100,226
Total Nacional;05 Canarias;(120-150];Índice;2012;100,923
Total Nacional;05 Canarias;(120-150];Índice;2011;102,062
Total Nacional;05 Canarias;(120-150];Variación anual;2023;2,5
Total Nacional;05 Canarias;(120-150];Variación anual;2022;2,7
Total Nacional;05 Canarias;(120-150];Variación anual;2021;1,5
Total Nacional;05 Canarias;(120-150];Variación anual;2020;0,2
Total Nacional;05 Canarias;(120-150];Variación anual;2019;2,4
Total Nacional;05 Canarias;(120-150];Variación anual;2018;1,6
Total Nacional;05 Canarias;(120-150];Variación anual;2017;2,2
Total Nacional;05 Canarias;(120-150];Variación anual;2016;1,6
Total Nacional;05 Canarias;(120-150];Variación anual;2015;0,2
Total Nacional;05 Canarias;(120-150];Variación anual;2014;-0,4
Total Nacional;05 Canarias;(120-150];Variación anual;2013;-0,7
Total Nacional;05 Canarias;(120-150];Variación anual;2012;-1,1
Total Nacional;05 Canarias;(120-150];Variación anual;2011;..
Total Nacional;05 Canarias;>150;Índice;2023;114,655
Total Nacional;05 Canarias;>150;Índice;2022;111,797
Total Nacional;05 Canarias;>150;Índice;2021;107,697
Total Nacional;05 Canarias;>150;Índice;2020;105,493
Total Nacional;05 Canarias;>150;Índice;2019;105,977
Total Nacional;05 Canarias;>150;Índice;2018;107,185
Total Nacional;05 Canarias;>150;Índice;2017;106,354
Total Nacional;05 Canarias;>150;Índice;2016;102,251
Total Nacional;05 Canarias;>150;Índice;2015;100
Total Nacional;05 Canarias;>150;Índice;2014;98,196
Total Nacional;05 Canarias;>150;Índice;2013;96,924
Total Nacional;05 Canarias;>150;Índice;2012;98,443
Total Nacional;05 Canarias;>150;Índice;2011;99,693
Total Nacional;05 Canarias;>150;Variación anual;2023;2,6
Total Nacional;05 Canarias;>150;Variación anual;2022;3,8
Total Nacional;05 Canarias;>150;Variación anual;2021;2,1
Total Nacional;05 Canarias;>150;Variación anual;2020;-0,5
Total Nacional;05 Canarias;>150;Variación anual;2019;-1,1
Total Nacional;05 Canarias;>150;Variación anual;2018;0,8
Total Nacional;05 Canarias;>150;Variación anual;2017;4
Total Nacional;05 Canarias;>150;Variación anual;2016;2,3
Total Nacional;05 Canarias;>150;Variación anual;2015;1,8
Total Nacional;05 Canarias;>150;Variación anual;2014;1,3
Total Nacional;05 Canarias;>150;Variación anual;2013;-1,5
Total Nacional;05 Canarias;>150;Variación anual;2012;-1,3
Total Nacional;05 Canarias;>150;Variación anual;2011;..
Total Nacional;06 Cantabria;Total;Índice;2023;115,126
Total Nacional;06 Cantabria;Total;Índice;2022;112,429
Total Nacional;06 Cantabria;Total;Índice;2021;109,83
Total Nacional;06 Cantabria;Total;Índice;2020;107,702
Total Nacional;06 Cantabria;Total;Índice;2019;106,722
Total Nacional;06 Cantabria;Total;Índice;2018;104,36
Total Nacional;06 Cantabria;Total;Índice;2017;103,032
Total Nacional;06 Cantabria;Total;Índice;2016;101,771
Total Nacional;06 Cantabria;Total;Índice;2015;100
Total Nacional;06 Cantabria;Total;Índice;2014;100,523
Total Nacional;06 Cantabria;Total;Índice;2013;101,486
Total Nacional;06 Cantabria;Total;Índice;2012;104,681
Total Nacional;06 Cantabria;Total;Índice;2011;105,457
Total Nacional;06 Cantabria;Total;Variación anual;2023;2,4
Total Nacional;06 Cantabria;Total;Variación anual;2022;2,4
Total Nacional;06 Cantabria;Total;Variación anual;2021;2
Total Nacional;06 Cantabria;Total;Variación anual;2020;0,9
Total Nacional;06 Cantabria;Total;Variación anual;2019;2,3
Total Nacional;06 Cantabria;Total;Variación anual;2018;1,3
Total Nacional;06 Cantabria;Total;Variación anual;2017;1,2
Total Nacional;06 Cantabria;Total;Variación anual;2016;1,8
Total Nacional;06 Cantabria;Total;Variación anual;2015;-0,5
Total Nacional;06 Cantabria;Total;Variación anual;2014;-0,9
Total Nacional;06 Cantabria;Total;Variación anual;2013;-3,1
Total Nacional;06 Cantabria;Total;Variación anual;2012;-0,7
Total Nacional;06 Cantabria;Total;Variación anual;2011;..
Total Nacional;06 Cantabria;<=60;Índice;2023;117,072
Total Nacional;06 Cantabria;<=60;Índice;2022;114,188
Total Nacional;06 Cantabria;<=60;Índice;2021;111,441
Total Nacional;06 Cantabria;<=60;Índice;2020;109,41
Total Nacional;06 Cantabria;<=60;Índice;2019;108,08
Total Nacional;06 Cantabria;<=60;Índice;2018;104,625
Total Nacional;06 Cantabria;<=60;Índice;2017;103
Total Nacional;06 Cantabria;<=60;Índice;2016;101,62
Total Nacional;06 Cantabria;<=60;Índice;2015;100
Total Nacional;06 Cantabria;<=60;Índice;2014;100,261
Total Nacional;06 Cantabria;<=60;Índice;2013;101,106
Total Nacional;06 Cantabria;<=60;Índice;2012;103,834
Total Nacional;06 Cantabria;<=60;Índice;2011;104,228
Total Nacional;06 Cantabria;<=60;Variación anual;2023;2,5
Total Nacional;06 Cantabria;<=60;Variación anual;2022;2,5
Total Nacional;06 Cantabria;<=60;Variación anual;2021;1,9
Total Nacional;06 Cantabria;<=60;Variación anual;2020;1,2
Total Nacional;06 Cantabria;<=60;Variación anual;2019;3,3
Total Nacional;06 Cantabria;<=60;Variación anual;2018;1,6
Total Nacional;06 Cantabria;<=60;Variación anual;2017;1,4
Total Nacional;06 Cantabria;<=60;Variación anual;2016;1,6
Total Nacional;06 Cantabria;<=60;Variación anual;2015;-0,3
Total Nacional;06 Cantabria;<=60;Variación anual;2014;-0,8
Total Nacional;06 Cantabria;<=60;Variación anual;2013;-2,6
Total Nacional;06 Cantabria;<=60;Variación anual;2012;-0,4
Total Nacional;06 Cantabria;<=60;Variación anual;2011;..
Total Nacional;06 Cantabria;(60-75];Índice;2023;115,566
Total Nacional;06 Cantabria;(60-75];Índice;2022;112,723
Total Nacional;06 Cantabria;(60-75];Índice;2021;110,202
Total Nacional;06 Cantabria;(60-75];Índice;2020;107,771
Total Nacional;06 Cantabria;(60-75];Índice;2019;106,909
Total Nacional;06 Cantabria;(60-75];Índice;2018;104,662
Total Nacional;06 Cantabria;(60-75];Índice;2017;103,335
Total Nacional;06 Cantabria;(60-75];Índice;2016;101,933
Total Nacional;06 Cantabria;(60-75];Índice;2015;100
Total Nacional;06 Cantabria;(60-75];Índice;2014;100,132
Total Nacional;06 Cantabria;(60-75];Índice;2013;101,549
Total Nacional;06 Cantabria;(60-75];Índice;2012;105,59
Total Nacional;06 Cantabria;(60-75];Índice;2011;106,679
Total Nacional;06 Cantabria;(60-75];Variación anual;2023;2,5
Total Nacional;06 Cantabria;(60-75];Variación anual;2022;2,3
Total Nacional;06 Cantabria;(60-75];Variación anual;2021;2,3
Total Nacional;06 Cantabria;(60-75];Variación anual;2020;0,8
Total Nacional;06 Cantabria;(60-75];Variación anual;2019;2,1
Total Nacional;06 Cantabria;(60-75];Variación anual;2018;1,3
Total Nacional;06 Cantabria;(60-75];Variación anual;2017;1,4
Total Nacional;06 Cantabria;(60-75];Variación anual;2016;1,9
Total Nacional;06 Cantabria;(60-75];Variación anual;2015;-0,1
Total Nacional;06 Cantabria;(60-75];Variación anual;2014;-1,4
Total Nacional;06 Cantabria;(60-75];Variación anual;2013;-3,8
Total Nacional;06 Cantabria;(60-75];Variación anual;2012;-1
Total Nacional;06 Cantabria;(60-75];Variación anual;2011;..
Total Nacional;06 Cantabria;(75-90];Índice;2023;114,775
Total Nacional;06 Cantabria;(75-90];Índice;2022;112,238
Total Nacional;06 Cantabria;(75-90];Índice;2021;109,486
Total Nacional;06 Cantabria;(75-90];Índice;2020;107,034
Total Nacional;06 Cantabria;(75-90];Índice;2019;106,404
Total Nacional;06 Cantabria;(75-90];Índice;2018;103,973
Total Nacional;06 Cantabria;(75-90];Índice;2017;102,601
Total Nacional;06 Cantabria;(75-90];Índice;2016;101,407
Total Nacional;06 Cantabria;(75-90];Índice;2015;100
Total Nacional;06 Cantabria;(75-90];Índice;2014;100,977
Total Nacional;06 Cantabria;(75-90];Índice;2013;102,329
Total Nacional;06 Cantabria;(75-90];Índice;2012;105,347
Total Nacional;06 Cantabria;(75-90];Índice;2011;105,855
Total Nacional;06 Cantabria;(75-90];Variación anual;2023;2,3
Total Nacional;06 Cantabria;(75-90];Variación anual;2022;2,5
Total Nacional;06 Cantabria;(75-90];Variación anual;2021;2,3
Total Nacional;06 Cantabria;(75-90];Variación anual;2020;0,6
Total Nacional;06 Cantabria;(75-90];Variación anual;2019;2,3
Total Nacional;06 Cantabria;(75-90];Variación anual;2018;1,3
Total Nacional;06 Cantabria;(75-90];Variación anual;2017;1,2
Total Nacional;06 Cantabria;(75-90];Variación anual;2016;1,4
Total Nacional;06 Cantabria;(75-90];Variación anual;2015;-1
Total Nacional;06 Cantabria;(75-90];Variación anual;2014;-1,3
Total Nacional;06 Cantabria;(75-90];Variación anual;2013;-2,9
Total Nacional;06 Cantabria;(75-90];Variación anual;2012;-0,5
Total Nacional;06 Cantabria;(75-90];Variación anual;2011;..
Total Nacional;06 Cantabria;(90-120];Índice;2023;114,214
Total Nacional;06 Cantabria;(90-120];Índice;2022;111,635
Total Nacional;06 Cantabria;(90-120];Índice;2021;109,255
Total Nacional;06 Cantabria;(90-120];Índice;2020;107,61
Total Nacional;06 Cantabria;(90-120];Índice;2019;106,485
Total Nacional;06 Cantabria;(90-120];Índice;2018;104,021
Total Nacional;06 Cantabria;(90-120];Índice;2017;102,817
Total Nacional;06 Cantabria;(90-120];Índice;2016;101,542
Total Nacional;06 Cantabria;(90-120];Índice;2015;100
Total Nacional;06 Cantabria;(90-120];Índice;2014;100,661
Total Nacional;06 Cantabria;(90-120];Índice;2013;101,678
Total Nacional;06 Cantabria;(90-120];Índice;2012;105,154
Total Nacional;06 Cantabria;(90-120];Índice;2011;105,868
Total Nacional;06 Cantabria;(90-120];Variación anual;2023;2,3
Total Nacional;06 Cantabria;(90-120];Variación anual;2022;2,2
Total Nacional;06 Cantabria;(90-120];Variación anual;2021;1,5
Total Nacional;06 Cantabria;(90-120];Variación anual;2020;1,1
Total Nacional;06 Cantabria;(90-120];Variación anual;2019;2,4
Total Nacional;06 Cantabria;(90-120];Variación anual;2018;1,2
Total Nacional;06 Cantabria;(90-120];Variación anual;2017;1,3
Total Nacional;06 Cantabria;(90-120];Variación anual;2016;1,5
Total Nacional;06 Cantabria;(90-120];Variación anual;2015;-0,7
Total Nacional;06 Cantabria;(90-120];Variación anual;2014;-1
Total Nacional;06 Cantabria;(90-120];Variación anual;2013;-3,3
Total Nacional;06 Cantabria;(90-120];Variación anual;2012;-0,7
Total Nacional;06 Cantabria;(90-120];Variación anual;2011;..
Total Nacional;06 Cantabria;(120-150];Índice;2023;113,634
Total Nacional;06 Cantabria;(120-150];Índice;2022;110,94
Total Nacional;06 Cantabria;(120-150];Índice;2021;108,13
Total Nacional;06 Cantabria;(120-150];Índice;2020;106,935
Total Nacional;06 Cantabria;(120-150];Índice;2019;105,961
Total Nacional;06 Cantabria;(120-150];Índice;2018;104,367
Total Nacional;06 Cantabria;(120-150];Índice;2017;103,104
Total Nacional;06 Cantabria;(120-150];Índice;2016;101,909
Total Nacional;06 Cantabria;(120-150];Índice;2015;100
Total Nacional;06 Cantabria;(120-150];Índice;2014;100,567
Total Nacional;06 Cantabria;(120-150];Índice;2013;99,452
Total Nacional;06 Cantabria;(120-150];Índice;2012;101,941
Total Nacional;06 Cantabria;(120-150];Índice;2011;103,315
Total Nacional;06 Cantabria;(120-150];Variación anual;2023;2,4
Total Nacional;06 Cantabria;(120-150];Variación anual;2022;2,6
Total Nacional;06 Cantabria;(120-150];Variación anual;2021;1,1
Total Nacional;06 Cantabria;(120-150];Variación anual;2020;0,9
Total Nacional;06 Cantabria;(120-150];Variación anual;2019;1,5
Total Nacional;06 Cantabria;(120-150];Variación anual;2018;1,2
Total Nacional;06 Cantabria;(120-150];Variación anual;2017;1,2
Total Nacional;06 Cantabria;(120-150];Variación anual;2016;1,9
Total Nacional;06 Cantabria;(120-150];Variación anual;2015;-0,6
Total Nacional;06 Cantabria;(120-150];Variación anual;2014;1,1
Total Nacional;06 Cantabria;(120-150];Variación anual;2013;-2,4
Total Nacional;06 Cantabria;(120-150];Variación anual;2012;-1,3
Total Nacional;06 Cantabria;(120-150];Variación anual;2011;..
Total Nacional;06 Cantabria;>150;Índice;2023;113,823
Total Nacional;06 Cantabria;>150;Índice;2022;111,316
Total Nacional;06 Cantabria;>150;Índice;2021;108,778
Total Nacional;06 Cantabria;>150;Índice;2020;106,226
Total Nacional;06 Cantabria;>150;Índice;2019;104,788
Total Nacional;06 Cantabria;>150;Índice;2018;105,387
Total Nacional;06 Cantabria;>150;Índice;2017;104,594
Total Nacional;06 Cantabria;>150;Índice;2016;104,054
Total Nacional;06 Cantabria;>150;Índice;2015;100
Total Nacional;06 Cantabria;>150;Índice;2014;100,545
Total Nacional;06 Cantabria;>150;Índice;2013;100,092
Total Nacional;06 Cantabria;>150;Índice;2012;100,664
Total Nacional;06 Cantabria;>150;Índice;2011;102,029
Total Nacional;06 Cantabria;>150;Variación anual;2023;2,3
Total Nacional;06 Cantabria;>150;Variación anual;2022;2,3
Total Nacional;06 Cantabria;>150;Variación anual;2021;2,4
Total Nacional;06 Cantabria;>150;Variación anual;2020;1,4
Total Nacional;06 Cantabria;>150;Variación anual;2019;-0,6
Total Nacional;06 Cantabria;>150;Variación anual;2018;0,8
Total Nacional;06 Cantabria;>150;Variación anual;2017;0,5
Total Nacional;06 Cantabria;>150;Variación anual;2016;4,1
Total Nacional;06 Cantabria;>150;Variación anual;2015;-0,5
Total Nacional;06 Cantabria;>150;Variación anual;2014;0,5
Total Nacional;06 Cantabria;>150;Variación anual;2013;-0,6
Total Nacional;06 Cantabria;>150;Variación anual;2012;-1,3
Total Nacional;06 Cantabria;>150;Variación anual;2011;..
Total Nacional;07 Castilla y León;Total;Índice;2023;113,231
Total Nacional;07 Castilla y León;Total;Índice;2022;111,038
Total Nacional;07 Castilla y León;Total;Índice;2021;108,862
Total Nacional;07 Castilla y León;Total;Índice;2020;107,006
Total Nacional;07 Castilla y León;Total;Índice;2019;106,224
Total Nacional;07 Castilla y León;Total;Índice;2018;103,967
Total Nacional;07 Castilla y León;Total;Índice;2017;102,536
Total Nacional;07 Castilla y León;Total;Índice;2016;101,464
Total Nacional;07 Castilla y León;Total;Índice;2015;100
Total Nacional;07 Castilla y León;Total;Índice;2014;100,525
Total Nacional;07 Castilla y León;Total;Índice;2013;101,087
Total Nacional;07 Castilla y León;Total;Índice;2012;103,127
Total Nacional;07 Castilla y León;Total;Índice;2011;104,047
Total Nacional;07 Castilla y León;Total;Variación anual;2023;2
Total Nacional;07 Castilla y León;Total;Variación anual;2022;2
Total Nacional;07 Castilla y León;Total;Variación anual;2021;1,7
Total Nacional;07 Castilla y León;Total;Variación anual;2020;0,7
Total Nacional;07 Castilla y León;Total;Variación anual;2019;2,2
Total Nacional;07 Castilla y León;Total;Variación anual;2018;1,4
Total Nacional;07 Castilla y León;Total;Variación anual;2017;1,1
Total Nacional;07 Castilla y León;Total;Variación anual;2016;1,5
Total Nacional;07 Castilla y León;Total;Variación anual;2015;-0,5
Total Nacional;07 Castilla y León;Total;Variación anual;2014;-0,6
Total Nacional;07 Castilla y León;Total;Variación anual;2013;-2
Total Nacional;07 Castilla y León;Total;Variación anual;2012;-0,9
Total Nacional;07 Castilla y León;Total;Variación anual;2011;..
Total Nacional;07 Castilla y León;<=60;Índice;2023;116,377
Total Nacional;07 Castilla y León;<=60;Índice;2022;113,724
Total Nacional;07 Castilla y León;<=60;Índice;2021;111,39
Total Nacional;07 Castilla y León;<=60;Índice;2020;109,331
Total Nacional;07 Castilla y León;<=60;Índice;2019;108,044
Total Nacional;07 Castilla y León;<=60;Índice;2018;104,759
Total Nacional;07 Castilla y León;<=60;Índice;2017;103,03
Total Nacional;07 Castilla y León;<=60;Índice;2016;101,517
Total Nacional;07 Castilla y León;<=60;Índice;2015;100
Total Nacional;07 Castilla y León;<=60;Índice;2014;100,252
Total Nacional;07 Castilla y León;<=60;Índice;2013;100,945
Total Nacional;07 Castilla y León;<=60;Índice;2012;103,924
Total Nacional;07 Castilla y León;<=60;Índice;2011;105,482
Total Nacional;07 Castilla y León;<=60;Variación anual;2023;2,3
Total Nacional;07 Castilla y León;<=60;Variación anual;2022;2,1
Total Nacional;07 Castilla y León;<=60;Variación anual;2021;1,9
Total Nacional;07 Castilla y León;<=60;Variación anual;2020;1,2
