Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Periodo;Total
Total Nacional;Andalucía;Málaga;1 persona;2036;278.311
Total Nacional;Andalucía;Málaga;1 persona;2035;272.672
Total Nacional;Andalucía;Málaga;1 persona;2034;266.932
Total Nacional;Andalucía;Málaga;1 persona;2033;261.051
Total Nacional;Andalucía;Málaga;1 persona;2032;254.835
Total Nacional;Andalucía;Málaga;1 persona;2031;248.477
Total Nacional;Andalucía;Málaga;1 persona;2030;241.904
Total Nacional;Andalucía;Málaga;1 persona;2029;234.873
Total Nacional;Andalucía;Málaga;1 persona;2028;227.312
Total Nacional;Andalucía;Málaga;1 persona;2027;219.425
Total Nacional;Andalucía;Málaga;1 persona;2026;211.338
Total Nacional;Andalucía;Málaga;1 persona;2025;202.935
Total Nacional;Andalucía;Málaga;1 persona;2024;194.560
Total Nacional;Andalucía;Málaga;2 personas;2039;286.802
Total Nacional;Andalucía;Málaga;2 personas;2038;282.451
Total Nacional;Andalucía;Málaga;2 personas;2037;277.932
Total Nacional;Andalucía;Málaga;2 personas;2036;273.268
Total Nacional;Andalucía;Málaga;2 personas;2035;268.487
Total Nacional;Andalucía;Málaga;2 personas;2034;263.581
Total Nacional;Andalucía;Málaga;2 personas;2033;258.524
Total Nacional;Andalucía;Málaga;2 personas;2032;253.200
Total Nacional;Andalucía;Málaga;2 personas;2031;247.645
Total Nacional;Andalucía;Málaga;2 personas;2030;241.784
Total Nacional;Andalucía;Málaga;2 personas;2029;235.561
Total Nacional;Andalucía;Málaga;2 personas;2028;228.923
Total Nacional;Andalucía;Málaga;2 personas;2027;221.804
Total Nacional;Andalucía;Málaga;2 personas;2026;214.393
Total Nacional;Andalucía;Málaga;2 personas;2025;206.725
Total Nacional;Andalucía;Málaga;2 personas;2024;198.926
Total Nacional;Andalucía;Málaga;3 personas;2039;162.765
Total Nacional;Andalucía;Málaga;3 personas;2038;162.208
Total Nacional;Andalucía;Málaga;3 personas;2037;161.608
Total Nacional;Andalucía;Málaga;3 personas;2036;160.949
Total Nacional;Andalucía;Málaga;3 personas;2035;160.224
Total Nacional;Andalucía;Málaga;3 personas;2034;159.396
Total Nacional;Andalucía;Málaga;3 personas;2033;158.454
Total Nacional;Andalucía;Málaga;3 personas;2032;157.355
Total Nacional;Andalucía;Málaga;3 personas;2031;156.026
Total Nacional;Andalucía;Málaga;3 personas;2030;154.424
Total Nacional;Andalucía;Málaga;3 personas;2029;152.535
Total Nacional;Andalucía;Málaga;3 personas;2028;150.307
Total Nacional;Andalucía;Málaga;3 personas;2027;147.724
Total Nacional;Andalucía;Málaga;3 personas;2026;144.770
Total Nacional;Andalucía;Málaga;3 personas;2025;141.558
Total Nacional;Andalucía;Málaga;3 personas;2024;138.234
