Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Periodo;Total
Total Nacional;Castilla y León;Soria;4 personas o más;2035;6.339
Total Nacional;Castilla y León;Soria;4 personas o más;2034;6.429
Total Nacional;Castilla y León;Soria;4 personas o más;2033;6.518
Total Nacional;Castilla y León;Soria;4 personas o más;2032;6.610
Total Nacional;Castilla y León;Soria;4 personas o más;2031;6.696
Total Nacional;Castilla y León;Soria;4 personas o más;2030;6.781
Total Nacional;Castilla y León;Soria;4 personas o más;2029;6.864
Total Nacional;Castilla y León;Soria;4 personas o más;2028;6.936
Total Nacional;Castilla y León;Soria;4 personas o más;2027;7.001
Total Nacional;Castilla y León;Soria;4 personas o más;2026;7.057
Total Nacional;Castilla y León;Soria;4 personas o más;2025;7.110
Total Nacional;Castilla y León;Soria;4 personas o más;2024;7.159
Total Nacional;Castilla y León;Soria;Tamaño medio;2039;2,1
Total Nacional;Castilla y León;Soria;Tamaño medio;2038;2,11
Total Nacional;Castilla y León;Soria;Tamaño medio;2037;2,12
Total Nacional;Castilla y León;Soria;Tamaño medio;2036;2,14
Total Nacional;Castilla y León;Soria;Tamaño medio;2035;2,15
Total Nacional;Castilla y León;Soria;Tamaño medio;2034;2,16
Total Nacional;Castilla y León;Soria;Tamaño medio;2033;2,17
Total Nacional;Castilla y León;Soria;Tamaño medio;2032;2,19
Total Nacional;Castilla y León;Soria;Tamaño medio;2031;2,2
Total Nacional;Castilla y León;Soria;Tamaño medio;2030;2,21
Total Nacional;Castilla y León;Soria;Tamaño medio;2029;2,22
Total Nacional;Castilla y León;Soria;Tamaño medio;2028;2,23
Total Nacional;Castilla y León;Soria;Tamaño medio;2027;2,24
Total Nacional;Castilla y León;Soria;Tamaño medio;2026;2,25
Total Nacional;Castilla y León;Soria;Tamaño medio;2025;2,27
Total Nacional;Castilla y León;Soria;Tamaño medio;2024;2,28
Total Nacional;Castilla y León;Segovia;Total;2039;77.320
Total Nacional;Castilla y León;Segovia;Total;2038;76.777
Total Nacional;Castilla y León;Segovia;Total;2037;76.195
Total Nacional;Castilla y León;Segovia;Total;2036;75.590
Total Nacional;Castilla y León;Segovia;Total;2035;74.983
Total Nacional;Castilla y León;Segovia;Total;2034;74.354
Total Nacional;Castilla y León;Segovia;Total;2033;73.720
Total Nacional;Castilla y León;Segovia;Total;2032;73.055
Total Nacional;Castilla y León;Segovia;Total;2031;72.338
Total Nacional;Castilla y León;Segovia;Total;2030;71.582
Total Nacional;Castilla y León;Segovia;Total;2029;70.760
Total Nacional;Castilla y León;Segovia;Total;2028;69.872
Total Nacional;Castilla y León;Segovia;Total;2027;68.945
Total Nacional;Castilla y León;Segovia;Total;2026;67.959
Total Nacional;Castilla y León;Segovia;Total;2025;66.946
Total Nacional;Castilla y León;Segovia;Total;2024;65.901
Total Nacional;Castilla y León;Segovia;1 persona;2039;30.011
Total Nacional;Castilla y León;Segovia;1 persona;2038;29.527
Total Nacional;Castilla y León;Segovia;1 persona;2037;29.008
Total Nacional;Castilla y León;Segovia;1 persona;2036;28.487
Total Nacional;Castilla y León;Segovia;1 persona;2035;27.975
Total Nacional;Castilla y León;Segovia;1 persona;2034;27.460
Total Nacional;Castilla y León;Segovia;1 persona;2033;26.957
Total Nacional;Castilla y León;Segovia;1 persona;2032;26.444
Total Nacional;Castilla y León;Segovia;1 persona;2031;25.916
Total Nacional;Castilla y León;Segovia;1 persona;2030;25.380
Total Nacional;Castilla y León;Segovia;1 persona;2029;24.822
Total Nacional;Castilla y León;Segovia;1 persona;2028;24.241
Total Nacional;Castilla y León;Segovia;1 persona;2027;23.680
Total Nacional;Castilla y León;Segovia;1 persona;2026;23.100
Total Nacional;Castilla y León;Segovia;1 persona;2025;22.518
Total Nacional;Castilla y León;Segovia;1 persona;2024;21.930
Total Nacional;Castilla y León;Segovia;2 personas;2039;23.280
Total Nacional;Castilla y León;Segovia;2 personas;2038;23.028
Total Nacional;Castilla y León;Segovia;2 personas;2037;22.759
Total Nacional;Castilla y León;Segovia;2 personas;2036;22.462
Total Nacional;Castilla y León;Segovia;2 personas;2035;22.161
Total Nacional;Castilla y León;Segovia;2 personas;2034;21.846
Total Nacional;Castilla y León;Segovia;2 personas;2033;21.530
Total Nacional;Castilla y León;Segovia;2 personas;2032;21.209
Total Nacional;Castilla y León;Segovia;2 personas;2031;20.861
Total Nacional;Castilla y León;Segovia;2 personas;2030;20.512
Total Nacional;Castilla y León;Segovia;2 personas;2029;20.139
Total Nacional;Castilla y León;Segovia;2 personas;2028;19.758
Total Nacional;Castilla y León;Segovia;2 personas;2027;19.355
Total Nacional;Castilla y León;Segovia;2 personas;2026;18.942
Total Nacional;Castilla y León;Segovia;2 personas;2025;18.528
Total Nacional;Castilla y León;Segovia;2 personas;2024;18.095
Total Nacional;Castilla y León;Segovia;3 personas;2039;12.045
Total Nacional;Castilla y León;Segovia;3 personas;2038;12.101
Total Nacional;Castilla y León;Segovia;3 personas;2037;12.160
Total Nacional;Castilla y León;Segovia;3 personas;2036;12.213
Total Nacional;Castilla y León;Segovia;3 personas;2035;12.260
Total Nacional;Castilla y León;Segovia;3 personas;2034;12.299
Total Nacional;Castilla y León;Segovia;3 personas;2033;12.334
Total Nacional;Castilla y León;Segovia;3 personas;2032;12.356
Total Nacional;Castilla y León;Segovia;3 personas;2031;12.368
Total Nacional;Castilla y León;Segovia;3 personas;2030;12.367
Total Nacional;Castilla y León;Segovia;3 personas;2029;12.355
Total Nacional;Castilla y León;Segovia;3 personas;2028;12.326
Total Nacional;Castilla y León;Segovia;3 personas;2027;12.282
Total Nacional;Castilla y León;Segovia;3 personas;2026;12.223
Total Nacional;Castilla y León;Segovia;3 personas;2025;12.154
Total Nacional;Castilla y León;Segovia;3 personas;2024;12.083
Total Nacional;Castilla y León;Segovia;4 personas o más;2039;11.984
Total Nacional;Castilla y León;Segovia;4 personas o más;2038;12.121
Total Nacional;Castilla y León;Segovia;4 personas o más;2037;12.268
Total Nacional;Castilla y León;Segovia;4 personas o más;2036;12.428
Total Nacional;Castilla y León;Segovia;4 personas o más;2035;12.587
Total Nacional;Castilla y León;Segovia;4 personas o más;2034;12.749
Total Nacional;Castilla y León;Segovia;4 personas o más;2033;12.899
Total Nacional;Castilla y León;Segovia;4 personas o más;2032;13.046
Total Nacional;Castilla y León;Segovia;4 personas o más;2031;13.193
Total Nacional;Castilla y León;Segovia;4 personas o más;2030;13.323
Total Nacional;Castilla y León;Segovia;4 personas o más;2029;13.444
Total Nacional;Castilla y León;Segovia;4 personas o más;2028;13.547
Total Nacional;Castilla y León;Segovia;4 personas o más;2027;13.628
Total Nacional;Castilla y León;Segovia;4 personas o más;2026;13.694
Total Nacional;Castilla y León;Segovia;4 personas o más;2025;13.746
Total Nacional;Castilla y León;Segovia;4 personas o más;2024;13.793
Total Nacional;Castilla y León;Segovia;Tamaño medio;2039;2,16
Total Nacional;Castilla y León;Segovia;Tamaño medio;2038;2,17
Total Nacional;Castilla y León;Segovia;Tamaño medio;2037;2,18
Total Nacional;Castilla y León;Segovia;Tamaño medio;2036;2,19
Total Nacional;Castilla y León;Segovia;Tamaño medio;2035;2,21
Total Nacional;Castilla y León;Segovia;Tamaño medio;2034;2,22
Total Nacional;Castilla y León;Segovia;Tamaño medio;2033;2,24
Total Nacional;Castilla y León;Segovia;Tamaño medio;2032;2,25
Total Nacional;Castilla y León;Segovia;Tamaño medio;2031;2,26
Total Nacional;Castilla y León;Segovia;Tamaño medio;2030;2,28
Total Nacional;Castilla y León;Segovia;Tamaño medio;2029;2,29
Total Nacional;Castilla y León;Segovia;Tamaño medio;2028;2,31
Total Nacional;Castilla y León;Segovia;Tamaño medio;2027;2,32
Total Nacional;Castilla y León;Segovia;Tamaño medio;2026;2,33
Total Nacional;Castilla y León;Segovia;Tamaño medio;2025;2,35
Total Nacional;Castilla y León;Segovia;Tamaño medio;2024;2,36
Total Nacional;Castilla y León;Palencia;Total;2039;71.557
Total Nacional;Castilla y León;Palencia;Total;2038;71.595
Total Nacional;Castilla y León;Palencia;Total;2037;71.594
Total Nacional;Castilla y León;Palencia;Total;2036;71.581
Total Nacional;Castilla y León;Palencia;Total;2035;71.547
Total Nacional;Castilla y León;Palencia;Total;2034;71.498
Total Nacional;Castilla y León;Palencia;Total;2033;71.426
Total Nacional;Castilla y León;Palencia;Total;2032;71.333
Total Nacional;Castilla y León;Palencia;Total;2031;71.220
Total Nacional;Castilla y León;Palencia;Total;2030;71.074
Total Nacional;Castilla y León;Palencia;Total;2029;70.879
Total Nacional;Castilla y León;Palencia;Total;2028;70.656
Total Nacional;Castilla y León;Palencia;Total;2027;70.402
Total Nacional;Castilla y León;Palencia;Total;2026;70.119
Total Nacional;Castilla y León;Palencia;Total;2025;69.824
Total Nacional;Castilla y León;Palencia;Total;2024;69.479
Total Nacional;Castilla y León;Palencia;1 persona;2039;30.489
Total Nacional;Castilla y León;Palencia;1 persona;2038;30.187
Total Nacional;Castilla y León;Palencia;1 persona;2037;29.849
Total Nacional;Castilla y León;Palencia;1 persona;2036;29.499
Total Nacional;Castilla y León;Palencia;1 persona;2035;29.135
Total Nacional;Castilla y León;Palencia;1 persona;2034;28.764
Total Nacional;Castilla y León;Palencia;1 persona;2033;28.372
Total Nacional;Castilla y León;Palencia;1 persona;2032;27.966
Total Nacional;Castilla y León;Palencia;1 persona;2031;27.557
Total Nacional;Castilla y León;Palencia;1 persona;2030;27.131
Total Nacional;Castilla y León;Palencia;1 persona;2029;26.672
Total Nacional;Castilla y León;Palencia;1 persona;2028;26.207
Total Nacional;Castilla y León;Palencia;1 persona;2027;25.733
Total Nacional;Castilla y León;Palencia;1 persona;2026;25.250
Total Nacional;Castilla y León;Palencia;1 persona;2025;24.758
Total Nacional;Castilla y León;Palencia;1 persona;2024;24.230
Total Nacional;Castilla y León;Palencia;2 personas;2039;22.847
Total Nacional;Castilla y León;Palencia;2 personas;2038;22.787
Total Nacional;Castilla y León;Palencia;2 personas;2037;22.713
Total Nacional;Castilla y León;Palencia;2 personas;2036;22.634
Total Nacional;Castilla y León;Palencia;2 personas;2035;22.535
Total Nacional;Castilla y León;Palencia;2 personas;2034;22.427
Total Nacional;Castilla y León;Palencia;2 personas;2033;22.315
Total Nacional;Castilla y León;Palencia;2 personas;2032;22.191
Total Nacional;Castilla y León;Palencia;2 personas;2031;22.049
Total Nacional;Castilla y León;Palencia;2 personas;2030;21.894
Total Nacional;Castilla y León;Palencia;2 personas;2029;21.721
Total Nacional;Castilla y León;Palencia;2 personas;2028;21.534
Total Nacional;Castilla y León;Palencia;2 personas;2027;21.325
Total Nacional;Castilla y León;Palencia;2 personas;2026;21.103
Total Nacional;Castilla y León;Palencia;2 personas;2025;20.874
Total Nacional;Castilla y León;Palencia;2 personas;2024;20.619
Total Nacional;Castilla y León;Palencia;3 personas;2039;9.644
Total Nacional;Castilla y León;Palencia;3 personas;2038;9.865
Total Nacional;Castilla y León;Palencia;3 personas;2037;10.089
Total Nacional;Castilla y León;Palencia;3 personas;2036;10.315
Total Nacional;Castilla y León;Palencia;3 personas;2035;10.542
Total Nacional;Castilla y León;Palencia;3 personas;2034;10.767
Total Nacional;Castilla y León;Palencia;3 personas;2033;10.995
Total Nacional;Castilla y León;Palencia;3 personas;2032;11.224
Total Nacional;Castilla y León;Palencia;3 personas;2031;11.450
Total Nacional;Castilla y León;Palencia;3 personas;2030;11.676
Total Nacional;Castilla y León;Palencia;3 personas;2029;11.899
Total Nacional;Castilla y León;Palencia;3 personas;2028;12.119
Total Nacional;Castilla y León;Palencia;3 personas;2027;12.336
Total Nacional;Castilla y León;Palencia;3 personas;2026;12.548
Total Nacional;Castilla y León;Palencia;3 personas;2025;12.763
Total Nacional;Castilla y León;Palencia;3 personas;2024;12.982
Total Nacional;Castilla y León;Palencia;4 personas o más;2039;8.577
Total Nacional;Castilla y León;Palencia;4 personas o más;2038;8.756
Total Nacional;Castilla y León;Palencia;4 personas o más;2037;8.943
Total Nacional;Castilla y León;Palencia;4 personas o más;2036;9.133
Total Nacional;Castilla y León;Palencia;4 personas o más;2035;9.335
Total Nacional;Castilla y León;Palencia;4 personas o más;2034;9.540
Total Nacional;Castilla y León;Palencia;4 personas o más;2033;9.744
Total Nacional;Castilla y León;Palencia;4 personas o más;2032;9.952
Total Nacional;Castilla y León;Palencia;4 personas o más;2031;10.164
Total Nacional;Castilla y León;Palencia;4 personas o más;2030;10.373
Total Nacional;Castilla y León;Palencia;4 personas o más;2029;10.587
Total Nacional;Castilla y León;Palencia;4 personas o más;2028;10.796
Total Nacional;Castilla y León;Palencia;4 personas o más;2027;11.008
Total Nacional;Castilla y León;Palencia;4 personas o más;2026;11.218
Total Nacional;Castilla y León;Palencia;4 personas o más;2025;11.429
Total Nacional;Castilla y León;Palencia;4 personas o más;2024;11.648
Total Nacional;Castilla y León;Palencia;Tamaño medio;2039;2,02
Total Nacional;Castilla y León;Palencia;Tamaño medio;2038;2,03
Total Nacional;Castilla y León;Palencia;Tamaño medio;2037;2,05
Total Nacional;Castilla y León;Palencia;Tamaño medio;2036;2,06
Total Nacional;Castilla y León;Palencia;Tamaño medio;2035;2,08
Total Nacional;Castilla y León;Palencia;Tamaño medio;2034;2,09
Total Nacional;Castilla y León;Palencia;Tamaño medio;2033;2,1
Total Nacional;Castilla y León;Palencia;Tamaño medio;2032;2,12
Total Nacional;Castilla y León;Palencia;Tamaño medio;2031;2,13
Total Nacional;Castilla y León;Palencia;Tamaño medio;2030;2,15
Total Nacional;Castilla y León;Palencia;Tamaño medio;2029;2,16
Total Nacional;Castilla y León;Palencia;Tamaño medio;2028;2,18
Total Nacional;Castilla y León;Palencia;Tamaño medio;2027;2,2
Total Nacional;Castilla y León;Palencia;Tamaño medio;2026;2,21
Total Nacional;Castilla y León;Palencia;Tamaño medio;2025;2,23
Total Nacional;Castilla y León;Palencia;Tamaño medio;2024;2,24
Total Nacional;Castilla y León;Ávila;Total;2039;80.156
Total Nacional;Castilla y León;Ávila;Total;2038;79.754
Total Nacional;Castilla y León;Ávila;Total;2037;79.353
Total Nacional;Castilla y León;Ávila;Total;2036;78.940
Total Nacional;Castilla y León;Ávila;Total;2035;78.502
Total Nacional;Castilla y León;Ávila;Total;2034;78.073
Total Nacional;Castilla y León;Ávila;Total;2033;77.629
Total Nacional;Castilla y León;Ávila;Total;2032;77.152
Total Nacional;Castilla y León;Ávila;Total;2031;76.653
Total Nacional;Castilla y León;Ávila;Total;2030;76.103
Total Nacional;Castilla y León;Ávila;Total;2029;75.482
Total Nacional;Castilla y León;Ávila;Total;2028;74.794
Total Nacional;Castilla y León;Ávila;Total;2027;74.073
Total Nacional;Castilla y León;Ávila;Total;2026;73.273
Total Nacional;Castilla y León;Ávila;Total;2025;72.444
Total Nacional;Castilla y León;Ávila;Total;2024;71.573
Total Nacional;Castilla y León;Ávila;1 persona;2039;34.588
Total Nacional;Castilla y León;Ávila;1 persona;2038;34.137
Total Nacional;Castilla y León;Ávila;1 persona;2037;33.688
Total Nacional;Castilla y León;Ávila;1 persona;2036;33.233
Total Nacional;Castilla y León;Ávila;1 persona;2035;32.761
Total Nacional;Castilla y León;Ávila;1 persona;2034;32.301
Total Nacional;Castilla y León;Ávila;1 persona;2033;31.836
Total Nacional;Castilla y León;Ávila;1 persona;2032;31.350
Total Nacional;Castilla y León;Ávila;1 persona;2031;30.867
Total Nacional;Castilla y León;Ávila;1 persona;2030;30.360
Total Nacional;Castilla y León;Ávila;1 persona;2029;29.818
Total Nacional;Castilla y León;Ávila;1 persona;2028;29.243
Total Nacional;Castilla y León;Ávila;1 persona;2027;28.691
Total Nacional;Castilla y León;Ávila;1 persona;2026;28.110
Total Nacional;Castilla y León;Ávila;1 persona;2025;27.523
Total Nacional;Castilla y León;Ávila;1 persona;2024;26.934
Total Nacional;Castilla y León;Ávila;2 personas;2039;23.903
Total Nacional;Castilla y León;Ávila;2 personas;2038;23.715
Total Nacional;Castilla y León;Ávila;2 personas;2037;23.519
Total Nacional;Castilla y León;Ávila;2 personas;2036;23.308
Total Nacional;Castilla y León;Ávila;2 personas;2035;23.079
Total Nacional;Castilla y León;Ávila;2 personas;2034;22.853
Total Nacional;Castilla y León;Ávila;2 personas;2033;22.621
Total Nacional;Castilla y León;Ávila;2 personas;2032;22.381
Total Nacional;Castilla y León;Ávila;2 personas;2031;22.125
Total Nacional;Castilla y León;Ávila;2 personas;2030;21.863
Total Nacional;Castilla y León;Ávila;2 personas;2029;21.577
Total Nacional;Castilla y León;Ávila;2 personas;2028;21.284
Total Nacional;Castilla y León;Ávila;2 personas;2027;20.969
Total Nacional;Castilla y León;Ávila;2 personas;2026;20.636
Total Nacional;Castilla y León;Ávila;2 personas;2025;20.305
Total Nacional;Castilla y León;Ávila;2 personas;2024;19.951
Total Nacional;Castilla y León;Ávila;3 personas;2039;11.394
Total Nacional;Castilla y León;Ávila;3 personas;2038;11.500
Total Nacional;Castilla y León;Ávila;3 personas;2037;11.605
Total Nacional;Castilla y León;Ávila;3 personas;2036;11.708
Total Nacional;Castilla y León;Ávila;3 personas;2035;11.814
Total Nacional;Castilla y León;Ávila;3 personas;2034;11.914
Total Nacional;Castilla y León;Ávila;3 personas;2033;12.012
Total Nacional;Castilla y León;Ávila;3 personas;2032;12.106
Total Nacional;Castilla y León;Ávila;3 personas;2031;12.192
Total Nacional;Castilla y León;Ávila;3 personas;2030;12.267
Total Nacional;Castilla y León;Ávila;3 personas;2029;12.334
Total Nacional;Castilla y León;Ávila;3 personas;2028;12.389
Total Nacional;Castilla y León;Ávila;3 personas;2027;12.427
Total Nacional;Castilla y León;Ávila;3 personas;2026;12.449
Total Nacional;Castilla y León;Ávila;3 personas;2025;12.461
Total Nacional;Castilla y León;Ávila;3 personas;2024;12.464
Total Nacional;Castilla y León;Ávila;4 personas o más;2039;10.271
Total Nacional;Castilla y León;Ávila;4 personas o más;2038;10.402
Total Nacional;Castilla y León;Ávila;4 personas o más;2037;10.541
Total Nacional;Castilla y León;Ávila;4 personas o más;2036;10.691
Total Nacional;Castilla y León;Ávila;4 personas o más;2035;10.848
Total Nacional;Castilla y León;Ávila;4 personas o más;2034;11.005
Total Nacional;Castilla y León;Ávila;4 personas o más;2033;11.160
Total Nacional;Castilla y León;Ávila;4 personas o más;2032;11.315
Total Nacional;Castilla y León;Ávila;4 personas o más;2031;11.469
Total Nacional;Castilla y León;Ávila;4 personas o más;2030;11.613
Total Nacional;Castilla y León;Ávila;4 personas o más;2029;11.753
Total Nacional;Castilla y León;Ávila;4 personas o más;2028;11.878
Total Nacional;Castilla y León;Ávila;4 personas o más;2027;11.986
Total Nacional;Castilla y León;Ávila;4 personas o más;2026;12.078
Total Nacional;Castilla y León;Ávila;4 personas o más;2025;12.155
Total Nacional;Castilla y León;Ávila;4 personas o más;2024;12.224
Total Nacional;Castilla y León;Ávila;Tamaño medio;2039;2,04
Total Nacional;Castilla y León;Ávila;Tamaño medio;2038;2,05
Total Nacional;Castilla y León;Ávila;Tamaño medio;2037;2,06
Total Nacional;Castilla y León;Ávila;Tamaño medio;2036;2,07
Total Nacional;Castilla y León;Ávila;Tamaño medio;2035;2,08
Total Nacional;Castilla y León;Ávila;Tamaño medio;2034;2,09
Total Nacional;Castilla y León;Ávila;Tamaño medio;2033;2,1
Total Nacional;Castilla y León;Ávila;Tamaño medio;2032;2,12
Total Nacional;Castilla y León;Ávila;Tamaño medio;2031;2,13
Total Nacional;Castilla y León;Ávila;Tamaño medio;2030;2,14
Total Nacional;Castilla y León;Ávila;Tamaño medio;2029;2,15
Total Nacional;Castilla y León;Ávila;Tamaño medio;2028;2,16
Total Nacional;Castilla y León;Ávila;Tamaño medio;2027;2,18
Total Nacional;Castilla y León;Ávila;Tamaño medio;2026;2,19
Total Nacional;Castilla y León;Ávila;Tamaño medio;2025;2,2
Total Nacional;Castilla y León;Ávila;Tamaño medio;2024;2,21
Total Nacional;Castilla y León;Zamora;Total;2039;78.131
Total Nacional;Castilla y León;Zamora;Total;2038;78.126
Total Nacional;Castilla y León;Zamora;Total;2037;78.124
Total Nacional;Castilla y León;Zamora;Total;2036;78.108
Total Nacional;Castilla y León;Zamora;Total;2035;78.104
Total Nacional;Castilla y León;Zamora;Total;2034;78.096
Total Nacional;Castilla y León;Zamora;Total;2033;78.082
Total Nacional;Castilla y León;Zamora;Total;2032;78.030
Total Nacional;Castilla y León;Zamora;Total;2031;77.986
Total Nacional;Castilla y León;Zamora;Total;2030;77.903
Total Nacional;Castilla y León;Zamora;Total;2029;77.794
Total Nacional;Castilla y León;Zamora;Total;2028;77.627
Total Nacional;Castilla y León;Zamora;Total;2027;77.451
Total Nacional;Castilla y León;Zamora;Total;2026;77.278
Total Nacional;Castilla y León;Zamora;Total;2025;77.060
Total Nacional;Castilla y León;Zamora;Total;2024;76.800
Total Nacional;Castilla y León;Zamora;1 persona;2039;35.147
Total Nacional;Castilla y León;Zamora;1 persona;2038;34.811
Total Nacional;Castilla y León;Zamora;1 persona;2037;34.478
Total Nacional;Castilla y León;Zamora;1 persona;2036;34.126
Total Nacional;Castilla y León;Zamora;1 persona;2035;33.790
Total Nacional;Castilla y León;Zamora;1 persona;2034;33.444
Total Nacional;Castilla y León;Zamora;1 persona;2033;33.089
Total Nacional;Castilla y León;Zamora;1 persona;2032;32.701
Total Nacional;Castilla y León;Zamora;1 persona;2031;32.336
Total Nacional;Castilla y León;Zamora;1 persona;2030;31.935
Total Nacional;Castilla y León;Zamora;1 persona;2029;31.516
Total Nacional;Castilla y León;Zamora;1 persona;2028;31.040
Total Nacional;Castilla y León;Zamora;1 persona;2027;30.589
Total Nacional;Castilla y León;Zamora;1 persona;2026;30.154
Total Nacional;Castilla y León;Zamora;1 persona;2025;29.666
Total Nacional;Castilla y León;Zamora;1 persona;2024;29.156
Total Nacional;Castilla y León;Zamora;2 personas;2039;24.681
Total Nacional;Castilla y León;Zamora;2 personas;2038;24.625
Total Nacional;Castilla y León;Zamora;2 personas;2037;24.557
Total Nacional;Castilla y León;Zamora;2 personas;2036;24.480
Total Nacional;Castilla y León;Zamora;2 personas;2035;24.398
Total Nacional;Castilla y León;Zamora;2 personas;2034;24.319
Total Nacional;Castilla y León;Zamora;2 personas;2033;24.231
Total Nacional;Castilla y León;Zamora;2 personas;2032;24.126
Total Nacional;Castilla y León;Zamora;2 personas;2031;24.010
Total Nacional;Castilla y León;Zamora;2 personas;2030;23.879
Total Nacional;Castilla y León;Zamora;2 personas;2029;23.745
Total Nacional;Castilla y León;Zamora;2 personas;2028;23.599
Total Nacional;Castilla y León;Zamora;2 personas;2027;23.426
Total Nacional;Castilla y León;Zamora;2 personas;2026;23.254
Total Nacional;Castilla y León;Zamora;2 personas;2025;23.068
Total Nacional;Castilla y León;Zamora;2 personas;2024;22.860
Total Nacional;Castilla y León;Zamora;3 personas;2039;10.924
Total Nacional;Castilla y León;Zamora;3 personas;2038;11.107
Total Nacional;Castilla y León;Zamora;3 personas;2037;11.293
Total Nacional;Castilla y León;Zamora;3 personas;2036;11.483
Total Nacional;Castilla y León;Zamora;3 personas;2035;11.671
Total Nacional;Castilla y León;Zamora;3 personas;2034;11.856
Total Nacional;Castilla y León;Zamora;3 personas;2033;12.045
Total Nacional;Castilla y León;Zamora;3 personas;2032;12.236
Total Nacional;Castilla y León;Zamora;3 personas;2031;12.422
Total Nacional;Castilla y León;Zamora;3 personas;2030;12.609
Total Nacional;Castilla y León;Zamora;3 personas;2029;12.792
Total Nacional;Castilla y León;Zamora;3 personas;2028;12.978
Total Nacional;Castilla y León;Zamora;3 personas;2027;13.157
Total Nacional;Castilla y León;Zamora;3 personas;2026;13.326
Total Nacional;Castilla y León;Zamora;3 personas;2025;13.505
Total Nacional;Castilla y León;Zamora;3 personas;2024;13.678
Total Nacional;Castilla y León;Zamora;4 personas o más;2039;7.379
Total Nacional;Castilla y León;Zamora;4 personas o más;2038;7.583
Total Nacional;Castilla y León;Zamora;4 personas o más;2037;7.796
Total Nacional;Castilla y León;Zamora;4 personas o más;2036;8.019
Total Nacional;Castilla y León;Zamora;4 personas o más;2035;8.245
Total Nacional;Castilla y León;Zamora;4 personas o más;2034;8.477
Total Nacional;Castilla y León;Zamora;4 personas o más;2033;8.717
Total Nacional;Castilla y León;Zamora;4 personas o más;2032;8.967
Total Nacional;Castilla y León;Zamora;4 personas o más;2031;9.218
Total Nacional;Castilla y León;Zamora;4 personas o más;2030;9.480
Total Nacional;Castilla y León;Zamora;4 personas o más;2029;9.741
Total Nacional;Castilla y León;Zamora;4 personas o más;2028;10.010
Total Nacional;Castilla y León;Zamora;4 personas o más;2027;10.279
Total Nacional;Castilla y León;Zamora;4 personas o más;2026;10.544
Total Nacional;Castilla y León;Zamora;4 personas o más;2025;10.821
Total Nacional;Castilla y León;Zamora;4 personas o más;2024;11.106
Total Nacional;Castilla y León;Zamora;Tamaño medio;2039;1,93
Total Nacional;Castilla y León;Zamora;Tamaño medio;2038;1,94
Total Nacional;Castilla y León;Zamora;Tamaño medio;2037;1,95
Total Nacional;Castilla y León;Zamora;Tamaño medio;2036;1,97
Total Nacional;Castilla y León;Zamora;Tamaño medio;2035;1,98
Total Nacional;Castilla y León;Zamora;Tamaño medio;2034;1,99
Total Nacional;Castilla y León;Zamora;Tamaño medio;2033;2,01
Total Nacional;Castilla y León;Zamora;Tamaño medio;2032;2,02
Total Nacional;Castilla y León;Zamora;Tamaño medio;2031;2,03
Total Nacional;Castilla y León;Zamora;Tamaño medio;2030;2,05
Total Nacional;Castilla y León;Zamora;Tamaño medio;2029;2,06
Total Nacional;Castilla y León;Zamora;Tamaño medio;2028;2,08
Total Nacional;Castilla y León;Zamora;Tamaño medio;2027;2,1
Total Nacional;Castilla y León;Zamora;Tamaño medio;2026;2,11
Total Nacional;Castilla y León;Zamora;Tamaño medio;2025;2,13
Total Nacional;Castilla y León;Zamora;Tamaño medio;2024;2,14
Total Nacional;Castilla y León;Valladolid;Total;2039;248.116
Total Nacional;Castilla y León;Valladolid;Total;2038;247.212
Total Nacional;Castilla y León;Valladolid;Total;2037;246.242
Total Nacional;Castilla y León;Valladolid;Total;2036;245.113
Total Nacional;Castilla y León;Valladolid;Total;2035;243.987
Total Nacional;Castilla y León;Valladolid;Total;2034;242.778
Total Nacional;Castilla y León;Valladolid;Total;2033;241.485
Total Nacional;Castilla y León;Valladolid;Total;2032;240.053
Total Nacional;Castilla y León;Valladolid;Total;2031;238.536
Total Nacional;Castilla y León;Valladolid;Total;2030;236.823
Total Nacional;Castilla y León;Valladolid;Total;2029;234.939
Total Nacional;Castilla y León;Valladolid;Total;2028;232.859
Total Nacional;Castilla y León;Valladolid;Total;2027;230.666
Total Nacional;Castilla y León;Valladolid;Total;2026;228.351
Total Nacional;Castilla y León;Valladolid;Total;2025;225.870
Total Nacional;Castilla y León;Valladolid;Total;2024;223.336
Total Nacional;Castilla y León;Valladolid;1 persona;2039;95.600
Total Nacional;Castilla y León;Valladolid;1 persona;2038;94.302
Total Nacional;Castilla y León;Valladolid;1 persona;2037;92.933
Total Nacional;Castilla y León;Valladolid;1 persona;2036;91.449
Total Nacional;Castilla y León;Valladolid;1 persona;2035;89.980
Total Nacional;Castilla y León;Valladolid;1 persona;2034;88.460
Total Nacional;Castilla y León;Valladolid;1 persona;2033;86.881
Total Nacional;Castilla y León;Valladolid;1 persona;2032;85.220
Total Nacional;Castilla y León;Valladolid;1 persona;2031;83.540
Total Nacional;Castilla y León;Valladolid;1 persona;2030;81.736
Total Nacional;Castilla y León;Valladolid;1 persona;2029;79.860
Total Nacional;Castilla y León;Valladolid;1 persona;2028;77.896
Total Nacional;Castilla y León;Valladolid;1 persona;2027;75.943
Total Nacional;Castilla y León;Valladolid;1 persona;2026;73.988
