País de nacimiento;Nacionalidad;Periodo;Total
UE27_2020 sin España;Extranjero;2016S2;""
UE27_2020 sin España;Extranjero;2016S1;""
UE27_2020 sin España;Extranjero;2015S2;""
UE27_2020 sin España;Extranjero;2015S1;""
UE27_2020 sin España;Extranjero;2014S2;""
UE27_2020 sin España;Extranjero;2014S1;""
UE27_2020 sin España;Extranjero;2013S2;""
UE27_2020 sin España;Extranjero;2013S1;""
UE27_2020 sin España;Extranjero;2012S2;""
UE27_2020 sin España;Extranjero;2012S1;""
UE27_2020 sin España;Extranjero;2011S2;""
UE27_2020 sin España;Extranjero;2011S1;""
UE27_2020 sin España;Extranjero;2010S2;""
UE27_2020 sin España;Extranjero;2010S1;""
UE27_2020 sin España;Extranjero;2009S2;""
UE27_2020 sin España;Extranjero;2009S1;""
UE27_2020 sin España;Extranjero;2008S2;""
UE27_2020 sin España;Extranjero;2008S1;""
UE28 sin España;Total;2022S1;""
UE28 sin España;Total;2021S2;""
UE28 sin España;Total;2021S1;""
UE28 sin España;Total;2020S2;""
UE28 sin España;Total;2020S1;""
UE28 sin España;Total;2019S2;65.154
UE28 sin España;Total;2019S1;62.107
UE28 sin España;Total;2018S2;66.671
UE28 sin España;Total;2018S1;58.144
UE28 sin España;Total;2017S2;64.809
UE28 sin España;Total;2017S1;57.704
UE28 sin España;Total;2016S2;54.963
UE28 sin España;Total;2016S1;50.172
UE28 sin España;Total;2015S2;51.716
UE28 sin España;Total;2015S1;46.077
UE28 sin España;Total;2014S2;50.553
UE28 sin España;Total;2014S1;42.976
UE28 sin España;Total;2013S2;46.423
UE28 sin España;Total;2013S1;38.615
UE28 sin España;Total;2012S2;47.207
UE28 sin España;Total;2012S1;47.279
UE28 sin España;Total;2011S2;62.739
UE28 sin España;Total;2011S1;59.730
UE28 sin España;Total;2010S2;66.020
UE28 sin España;Total;2010S1;55.495
UE28 sin España;Total;2009S2;60.788
UE28 sin España;Total;2009S1;56.607
UE28 sin España;Total;2008S2;71.867
UE28 sin España;Total;2008S1;87.180
UE28 sin España;Española;2022S1;""
UE28 sin España;Española;2021S2;""
UE28 sin España;Española;2021S1;""
UE28 sin España;Española;2020S2;""
UE28 sin España;Española;2020S1;""
UE28 sin España;Española;2019S2;2.187
UE28 sin España;Española;2019S1;1.811
UE28 sin España;Española;2018S2;2.204
UE28 sin España;Española;2018S1;1.891
UE28 sin España;Española;2017S2;2.070
UE28 sin España;Española;2017S1;1.642
UE28 sin España;Española;2016S2;1.837
UE28 sin España;Española;2016S1;1.416
