Comunidades;Edad (grupos quinquenales);Sexo;Periodo;Total
Asturias, Principado de;De 10 a 14 años;Total;1 de enero de 2000;""
Asturias, Principado de;De 10 a 14 años;Total;1 de enero de 1999;""
Asturias, Principado de;De 10 a 14 años;Total;1 de enero de 1998;""
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2022;21.290
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2021;21.301
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2020;21.379
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2019;21.046
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2018;20.698
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2017;20.166
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2016;19.897
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2015;19.627
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2014;19.473
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2013;19.126
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2012;19.111
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2011;18.775
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2010;18.563
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2009;18.311
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2008;18.491
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2007;18.614
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2006;19.125
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2005;19.520
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2004;20.064
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2003;20.693
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2002;""
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2001;""
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 2000;""
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 1999;""
Asturias, Principado de;De 10 a 14 años;Hombres;1 de enero de 1998;""
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2022;20.380
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2021;20.404
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2020;20.334
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2019;19.914
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2018;19.481
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2017;19.189
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2016;18.873
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2015;18.651
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2014;18.396
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2013;18.029
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2012;17.839
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2011;17.722
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2010;17.585
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2009;17.641
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2008;17.564
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2007;17.816
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2006;18.201
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2005;18.646
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2004;19.139
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2003;19.748
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2002;""
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2001;""
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 2000;""
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 1999;""
Asturias, Principado de;De 10 a 14 años;Mujeres;1 de enero de 1998;""
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2022;40.379
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2021;39.792
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2020;39.314
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2019;38.555
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2018;37.753
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2017;37.535
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2016;37.149
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2015;36.841
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2014;36.925
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2013;37.334
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2012;38.442
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2011;39.527
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2010;40.496
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2009;41.689
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2008;42.700
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2007;43.784
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2006;45.922
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2005;48.505
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2004;51.262
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2003;54.245
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2002;""
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2001;""
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 2000;""
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 1999;""
Asturias, Principado de;De 15 a 19 años;Total;1 de enero de 1998;""
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2022;20.788
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2021;20.513
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2020;20.289
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2019;19.931
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2018;19.488
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2017;19.452
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2016;19.119
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2015;18.956
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2014;18.854
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2013;19.156
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2012;19.662
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2011;20.270
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2010;20.728
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2009;21.339
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2008;21.820
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2007;22.410
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2006;23.607
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2005;24.991
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2004;26.417
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2003;27.956
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2002;""
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2001;""
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 2000;""
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 1999;""
Asturias, Principado de;De 15 a 19 años;Hombres;1 de enero de 1998;""
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2022;19.591
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2021;19.279
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2020;19.025
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2019;18.624
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2018;18.265
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2017;18.083
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2016;18.030
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2015;17.885
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2014;18.071
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2013;18.178
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2012;18.780
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2011;19.257
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2010;19.768
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2009;20.350
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2008;20.880
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2007;21.374
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2006;22.315
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2005;23.514
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2004;24.845
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2003;26.289
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2002;""
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2001;""
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 2000;""
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 1999;""
Asturias, Principado de;De 15 a 19 años;Mujeres;1 de enero de 1998;""
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2022;38.823
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2021;38.676
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2020;38.460
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2019;38.067
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2018;38.442
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2017;39.249
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2016;40.285
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2015;41.433
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2014;42.985
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2013;44.744
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2012;46.979
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2011;49.484
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2010;52.327
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2009;55.321
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2008;57.655
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2007;59.527
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2006;62.626
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2005;66.154
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2004;69.785
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2003;73.565
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2002;""
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2001;""
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 2000;""
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 1999;""
Asturias, Principado de;De 20 a 24 años;Total;1 de enero de 1998;""
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2022;20.105
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2021;19.890
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2020;19.727
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2019;19.402
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2018;19.586
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2017;19.933
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2016;20.498
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2015;21.013
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2014;21.842
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2013;22.725
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2012;23.855
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2011;25.217
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2010;26.788
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2009;28.363
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2008;29.569
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2007;30.374
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2006;31.762
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2005;33.528
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2004;35.386
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2003;37.256
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2002;""
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2001;""
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 2000;""
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 1999;""
Asturias, Principado de;De 20 a 24 años;Hombres;1 de enero de 1998;""
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2022;18.718
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2021;18.786
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2020;18.733
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2019;18.665
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2018;18.856
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2017;19.316
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2016;19.787
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2015;20.420
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2014;21.143
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2013;22.019
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2012;23.124
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2011;24.267
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2010;25.539
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2009;26.958
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2008;28.086
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2007;29.153
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2006;30.864
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2005;32.626
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2004;34.399
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2003;36.309
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2002;""
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2001;""
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 2000;""
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 1999;""
Asturias, Principado de;De 20 a 24 años;Mujeres;1 de enero de 1998;""
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2022;38.904
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2021;39.892
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2020;40.651
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2019;41.767
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2018;43.281
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2017;45.249
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2016;47.706
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2015;50.863
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2014;54.687
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2013;58.310
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2012;62.000
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2011;65.390
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2010;69.158
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2009;72.908
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2008;75.904
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2007;78.901
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2006;82.415
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2005;84.439
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2004;85.451
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2003;85.509
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2002;""
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2001;""
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 2000;""
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 1999;""
Asturias, Principado de;De 25 a 29 años;Total;1 de enero de 1998;""
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2022;19.622
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2021;20.208
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2020;20.603
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2019;21.194
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2018;21.879
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2017;22.837
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2016;24.103
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2015;25.801
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2014;27.765
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2013;29.707
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2012;31.632
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2011;33.250
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2010;35.107
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2009;37.000
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2008;38.390
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2007;39.888
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2006;41.900
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2005;43.036
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2004;43.567
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2003;43.433
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2002;""
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2001;""
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 2000;""
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 1999;""
Asturias, Principado de;De 25 a 29 años;Hombres;1 de enero de 1998;""
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2022;19.282
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2021;19.684
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2020;20.048
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2019;20.573
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2018;21.402
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2017;22.412
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2016;23.603
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2015;25.062
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2014;26.922
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2013;28.603
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2012;30.368
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2011;32.140
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2010;34.051
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2009;35.908
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2008;37.514
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2007;39.013
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2006;40.515
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2005;41.403
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2004;41.884
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2003;42.076
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2002;""
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2001;""
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 2000;""
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 1999;""
Asturias, Principado de;De 25 a 29 años;Mujeres;1 de enero de 1998;""
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2022;44.785
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2021;46.907
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2020;49.446
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2019;51.964
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2018;55.041
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2017;58.003
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2016;61.809
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2015;65.945
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2014;70.853
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2013;75.317
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2012;80.189
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2011;83.737
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2010;86.395
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2009;87.661
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2008;86.640
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2007;85.352
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2006;84.452
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2005;82.816
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2004;80.975
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2003;80.066
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2002;""
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2001;""
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 2000;""
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 1999;""
Asturias, Principado de;De 30 a 34 años;Total;1 de enero de 1998;""
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2022;22.399
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2021;23.486
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2020;24.894
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2019;26.142
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2018;27.728
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2017;29.175
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2016;31.024
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2015;33.090
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2014;35.660
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2013;37.963
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2012;40.642
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2011;42.709
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2010;44.152
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2009;44.781
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2008;44.098
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2007;43.264
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2006;42.671
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2005;41.769
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2004;40.841
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2003;40.366
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2002;""
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2001;""
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 2000;""
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 1999;""
Asturias, Principado de;De 30 a 34 años;Hombres;1 de enero de 1998;""
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2022;22.386
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2021;23.421
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2020;24.552
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2019;25.822
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2018;27.313
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2017;28.828
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2016;30.785
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2015;32.855
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2014;35.193
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2013;37.354
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2012;39.547
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2011;41.028
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2010;42.243
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2009;42.880
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2008;42.542
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2007;42.088
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2006;41.781
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2005;41.047
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2004;40.134
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2003;39.700
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2002;""
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2001;""
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 2000;""
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 1999;""
Asturias, Principado de;De 30 a 34 años;Mujeres;1 de enero de 1998;""
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2022;58.462
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2021;61.758
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2020;65.005
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2019;68.690
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2018;72.589
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2017;77.016
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2016;80.925
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2015;84.134
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2014;86.574
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2013;87.146
Asturias, Principado de;De 35 a 39 años;Total;1 de enero de 2012;87.652
