freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,RCH_A_AVG,BE	: 	2.4 e	5.3 e	5.4 e	6.0 e	10.1 e	6.9 	4.9 	1.1 	0.2 	0.5 	0.9 	0.1 	0.5 	-1.1 	1.0 	0.8 	1.5 	0.9 	2.2 	3.3 	3.9 	-4.6 	-3.7 	1.5 
A,RCH_A_AVG,BG	: 	-5.0 e	-12.0 e	10.9 e	42.7 e	27.7 e	12.2 e	18.5 e	17.6 e	-20.9 e	-11.8 e	-8.9 	-4.6 	-0.8 	0.1 	0.4 b	5.3 	3.9 	4.2 	3.8 	5.2 	2.5 	-1.9 b	1.6 	11.0 
A,RCH_A_AVG,CY	: 	-0.8 e	4.6 e	11.0 e	8.4 e	5.8 e	7.9 	7.7 	0.9 	-6.8 	-8.2 	-4.4 	-5.5 	-3.9 	-1.1 	1.0 b	1.8 	3.6 	-2.6 	8.0 	6.5 	-2.8 	0.3 	5.5 	5.5 
A,RCH_A_AVG,CZ	: 	5.8 e	11.3 e	10.0 e	-2.9 e	1.4 e	5.0 e	16.1 e	7.7 e	-4.9 	-4.0 	-1.1 	-3.3 	-0.6 	1.3 	3.4 	6.1 	8.4 	5.5 	6.1 	5.3 	14.8 	2.3 	-9.4 	1.9 
A,RCH_A_AVG,DE	: 	-1.9 e	-2.9 e	-1.3 e	-2.7 e	-0.1 e	-1.6 	-4.0 	-0.7 	1.0 	-0.6 	1.4 	1.9 	1.5 	2.0 	4.2 	6.7 	4.4 	4.9 	4.3 	7.2 	8.0 	-0.6 	-14.1 	-3.8 
A,RCH_A_AVG,DK	: 	3.5 e	1.7 e	1.9 e	7.7 e	15.6 e	21.4 	0.9 	-8.0 	-13.1 	0.4 	-3.9 	-4.9 	3.1 	3.1 	6.8 b	4.5 	4.0 	3.9 	1.4 	4.1 	9.5 	-2.8 	-6.6 	1.7 
A,RCH_A_AVG,EA20	: 	: 	: 	: 	: 	: 	4.9 	2.3 	-1.4 	-2.5 	-0.7 	-1.1 	-3.8 	-3.1 	-0.2 	1.3 	3.5 	2.9 	3.1 	3.2 	4.7 	5.4 	0.5 	-7.0 	-0.3 
A,RCH_A_AVG,EA21	: 	: 	: 	: 	: 	: 	4.9 	2.5 	-1.2 	-2.6 	-0.8 	-1.2 	-3.8 	-3.1 	-0.2 	1.3 	3.5 	3.0 	3.1 	3.2 	4.7 	5.4 	0.6 	-6.8 	-0.1 
A,RCH_A_AVG,EE	: 	: 	: 	: 	: 	: 	41.7 	11.9 	-16.3 	-36.5 	1.8 	3.0 	2.9 	7.2 	13.0 	6.7 	3.1 	0.8 	2.2 	4.1 	7.5 	10.2 	4.0 	-2.7 	2.6 
A,RCH_A_AVG,EL	: 	11.3 e	12.3 e	1.8 e	-0.6 e	8.1 e	9.7 e	2.5 e	-2.0 e	-4.3 e	-8.1 e	-8.2 e	-12.5 e	-9.3 e	-5.2 e	-3.8 e	-1.6 e	-1.3 e	1.7 e	7.1 e	5.7 e	6.6 e	5.2 e	10.1 e	6.8 ep
A,RCH_A_AVG,ES	: 	6.0 e	12.3 e	13.5 e	13.1 e	7.9 e	11.6 e	6.2 	-4.8 	-5.7 	-3.7 	-9.7 	-16.5 	-10.0 	0.2 	3.7 	4.4 	4.6 	5.3 	4.1 	2.1 	1.4 	0.7 	-1.0 	5.2 
A,RCH_A_AVG,EU27_2020	: 	: 	: 	: 	: 	: 	7.3 	5.6 	-1.9 	-2.1 	-1.9 	-1.8 	-3.9 	-2.7 	0.4 	2.1 	4.0 	3.2 	3.5 	3.6 	5.0 	5.7 	0.8 	-6.4 	0.6 
A,RCH_A_AVG,FI	: 	-4.2 e	4.6 e	5.2 e	7.7 e	7.0 e	5.5 	3.9 	-2.5 	-0.4 	4.8 	-0.1 	-0.4 	-1.2 	-1.6 	-0.5 b	1.1 	0.0 	-0.4 	-0.6 	1.4 	2.3 	-5.2 	-10.1 	-4.1 
A,RCH_A_AVG,FR	: 	5.9 	7.9 	10.1 	12.7 	12.9 	9.2 	4.4 	-1.8 	-4.6 	3.5 	3.9 	-1.9 	-2.5 	-1.7 	-1.6 	0.8 	2.4 	1.0 	2.5 	4.3 	4.9 	1.4 	-6.9 	-5.8 
A,RCH_A_AVG,HR	: 	-2.7 e	3.2 e	0.9 e	8.8 e	7.8 e	13.6 e	9.3 e	-2.7 e	-7.9 	-7.7 	-2.0 	-4.6 	-5.7 	-1.3 	-2.6 	2.0 	2.9 	4.6 	7.8 	7.1 	4.6 	3.9 	3.0 	6.7 
A,RCH_A_AVG,HU	: 	9.3 e	8.1 e	14.5 e	1.9 e	-0.3 e	1.8 e	0.7 e	-3.2 	-9.0 	-5.8 	-6.5 	-8.5 	-3.9 	3.0 	12.5 	12.3 	8.7 	10.5 	11.9 	2.1 	10.0 	6.8 	-6.6 	6.1 p
A,RCH_A_AVG,IE	: 	10.3 e	-0.6 e	10.0 e	9.2 e	8.0 e	12.1 	4.3 	-8.4 	-13.5 	-12.1 	-17.9 	-14.7 	-0.5 	15.2 	10.9 	6.9 	9.8 	8.6 	0.7 	0.4 	5.3 	4.5 	-5.2 	4.2 
A,RCH_A_AVG,IT	: 	3.2 e	8.7 e	3.0 e	3.6 e	4.7 e	3.0 e	2.6 e	-0.6 e	0.0 e	-0.3 e	-1.5 	-5.1 	-7.5 	-4.9 	-4.0 	-0.2 	-2.4 	-1.9 	-1.0 	1.7 	1.1 	-2.8 	-3.5 	1.6 
A,RCH_A_AVG,LT	: 	10.0 e	6.1 e	11.5 e	8.3 e	5.7 e	42.5 e	19.4 	-1.7 	-32.9 	-8.8 	2.2 	-3.5 	0.3 	6.4 	4.7 	4.2 	4.9 	4.6 	4.6 	6.0 	10.9 	0.6 	1.1 	8.3 
A,RCH_A_AVG,LU	: 	11.4 e	6.9 e	8.6 e	11.4 e	18.1 e	3.7 e	0.1 e	0.2 	-0.1 	3.3 	0.7 	2.0 	3.4 	3.7 	4.5 	5.2 	3.3 	5.1 	8.6 	13.4 	12.2 	3.9 	-13.2 	-7.7 
A,RCH_A_AVG,LV	: 	-2.3 e	43.3 e	17.9 e	-4.1 e	53.5 e	8.0 e	23.5 	-11.7 	-38.9 	-8.8 	6.0 	0.7 	6.6 	5.2 	-3.5 	7.7 	5.8 	6.7 	5.5 	3.2 	8.1 	0.1 	-3.7 	0.7 
A,RCH_A_AVG,MT	: 	6.9 e	10.7 e	15.3 e	13.3 e	4.7 e	16.8 	19.5 	6.9 	-6.3 	-1.2 	-3.7 	0.4 	-1.5 	2.1 	4.2 	4.6 	4.5 	4.7 	4.1 	2.0 	3.9 	1.2 	-0.1 	3.5 p
A,RCH_A_AVG,NL	: 	6.0 e	2.7 e	-0.1 e	2.6 e	3.0 e	1.4 	2.6 	-0.1 	-3.4 	-3.3 	-4.6 	-7.6 	-7.9 	-0.1 	3.4 	4.6 	5.9 	7.1 	4.8 	5.9 	9.6 	5.3 	-8.2 	5.5 
A,RCH_A_AVG,PL	: 	: 	: 	: 	: 	: 	34.5 e	45.3 e	-4.7 e	-5.5 e	-6.0 e	-4.3 	-6.4 	-4.7 	1.3 	1.9 	2.7 	2.0 	5.0 	6.4 	6.7 	3.4 	-2.0 	-0.6 	11.2 
A,RCH_A_AVG,PT	: 	1.5 e	-2.8 e	-2.4 e	-1.7 e	1.9 e	-1.5 e	-2.3 e	-2.0 e	1.0 	-1.1 	-6.5 	-8.8 	-2.7 	4.0 	2.3 	6.0 	7.5 	8.5 	9.0 	8.3 	7.2 	5.0 	3.2 	6.2 
A,RCH_A_AVG,RO	: 	: 	: 	46.5 e	25.9 e	33.9 e	23.4 e	44.6 e	5.4 e	-30.4 e	-15.5 	-15.7 	-8.9 	-1.7 	-3.2 	1.7 	5.2 	3.3 	1.7 	-1.8 	2.3 	-0.2 	-5.9 	-5.2 	-1.3 
A,RCH_A_AVG,SE	: 	5.7 e	4.6 e	4.5 e	8.9 e	8.9 e	11.4 	11.1 	-1.7 	1.1 	6.6 	1.2 	0.8 	4.6 	8.5 	12.0 	7.3 	4.8 	-3.4 	0.4 	3.4 	7.7 	-3.0 	-11.2 	-2.6 
A,RCH_A_AVG,SI	: 	-0.9 e	-4.2 e	2.7 e	6.5 e	13.2 e	14.2 e	17.5 e	1.3 	-9.2 	-1.9 	0.5 	-8.7 	-6.5 	-6.5 	1.6 	3.7 	6.6 	6.6 	5.2 	5.0 	7.9 	4.7 	-0.4 	5.4 
A,RCH_A_AVG,SK	: 	: 	: 	30.9 e	7.6 e	-12.6 e	11.3 e	25.8 	12.9 	-12.8 	-4.6 	-5.1 	-6.0 	-0.5 	1.5 	5.4 	7.0 	4.7 	5.5 	6.7 	7.2 	3.1 	1.9 	-9.3 	0.8 
